file_index,original_value,predict_value
0,0,[0.]
1,0,[0.]
2,1,[0.]
3,0,[0.]
4,0,[0.]
5,1,[0.]
6,0,[0.]
7,0,[0.]
8,0,[0.]
9,1,[0.]
10,0,[0.]
11,0,[0.]
12,0,[0.]
13,1,[0.]
14,0,[0.]
15,0,[0.]
16,4,[0.]
17,0,[0.]
18,3,[0.]
19,1,[0.]
20,2,[0.]
21,0,[0.]
22,2,[0.]
23,0,[0.]
24,0,[0.]
25,0,[0.]
26,0,[0.]
27,0,[0.]
28,1,[0.]
29,0,[0.]
30,1,[0.]
31,0,[0.]
32,1,[0.]
33,0,[0.]
34,0,[0.]
35,0,[0.]
36,17,[0.]
37,0,[0.]
38,0,[0.]
39,0,[0.]
40,0,[0.]
41,0,[0.]
42,0,[0.]
43,0,[0.]
44,0,[0.]
45,3,[0.]
46,0,[0.]
47,0,[0.]
48,0,[0.]
49,0,[0.]
50,0,[0.]
51,0,[0.]
52,0,[0.]
53,0,[0.]
54,0,[0.]
55,0,[0.]
56,0,[0.]
57,0,[0.]
58,0,[0.]
59,0,[0.]
60,0,[0.]
61,0,[0.]
62,0,[0.]
63,0,[0.]
64,0,[0.]
65,0,[0.]
66,0,[0.]
67,0,[0.]
68,0,[0.]
69,0,[0.]
70,0,[0.]
71,0,[0.]
72,0,[0.]
73,0,[0.]
74,0,[0.]
75,0,[0.]
76,0,[0.]
77,0,[0.]
78,0,[0.]
79,0,[0.]
80,0,[0.]
81,0,[0.]
82,0,[0.]
83,0,[0.]
84,0,[0.]
85,0,[0.]
86,1,[0.]
87,0,[0.]
88,0,[0.]
89,0,[0.]
90,1,[0.]
91,1,[0.]
92,0,[0.]
93,1,[0.]
94,0,[0.]
95,0,[0.]
96,1,[0.]
97,1,[0.]
98,1,[0.]
99,0,[0.]
100,0,[0.]
101,0,[0.]
102,3,[0.]
103,0,[0.]
104,0,[0.]
105,2,[0.]
106,3,[0.]
107,0,[0.]
108,0,[0.]
109,0,[0.]
110,0,[0.]
111,0,[0.]
112,0,[0.]
113,0,[0.]
114,2,[0.]
115,10,[0.]
116,0,[0.]
117,0,[0.]
118,0,[0.]
119,1,[0.]
120,0,[0.]
121,2,[0.]
122,3,[0.]
123,3,[0.]
124,0,[0.]
125,0,[0.]
126,0,[0.]
127,0,[0.]
128,0,[0.]
129,0,[0.]
130,0,[0.]
131,0,[0.]
132,0,[0.]
133,0,[0.]
134,0,[0.]
135,0,[0.]
136,0,[0.]
137,0,[0.]
138,0,[0.]
139,0,[0.]
140,0,[0.]
141,0,[0.]
142,0,[0.]
143,0,[0.]
144,0,[0.]
145,0,[0.]
146,0,[0.]
147,0,[0.]
148,0,[0.]
149,0,[0.]
150,0,[0.]
151,0,[0.]
152,0,[0.]
153,0,[0.]
154,0,[0.]
155,0,[0.]
156,0,[0.]
157,0,[0.]
158,0,[0.]
159,0,[0.]
160,0,[0.]
161,0,[0.]
162,0,[0.]
163,0,[0.]
164,0,[0.]
165,0,[0.]
166,0,[0.]
167,0,[0.]
168,0,[0.]
169,0,[0.]
170,0,[0.]
171,0,[0.]
172,0,[0.]
173,0,[0.]
174,0,[0.]
175,6,[0.]
176,1,[0.]
177,0,[0.]
178,0,[0.]
179,0,[0.]
180,0,[0.]
181,3,[0.]
182,2,[0.]
183,6,[0.]
184,3,[0.]
185,0,[0.]
186,0,[0.]
187,0,[0.]
188,0,[0.]
189,2,[0.]
190,0,[0.]
191,0,[0.]
192,2,[0.]
193,1,[0.]
194,0,[0.]
195,0,[0.]
196,2,[0.]
197,0,[0.]
198,2,[0.]
199,0,[0.]
200,0,[0.]
201,0,[0.]
202,0,[0.]
203,0,[0.]
204,0,[0.]
205,1,[0.]
206,1,[0.]
207,0,[0.]
208,3,[0.]
209,0,[0.]
210,0,[0.]
211,0,[0.]
212,1,[0.]
213,4,[0.]
214,0,[0.]
215,0,[0.]
216,0,[0.]
217,0,[0.]
218,0,[0.]
219,0,[0.]
220,0,[0.]
221,0,[0.]
222,0,[0.]
223,0,[0.]
224,0,[0.]
225,0,[0.]
226,0,[0.]
227,0,[0.]
228,0,[0.]
229,0,[0.]
230,0,[0.]
231,0,[0.]
232,0,[0.]
233,0,[0.]
234,0,[0.]
235,0,[0.]
236,0,[0.]
237,0,[0.]
238,0,[0.]
239,0,[0.]
240,0,[0.]
241,0,[0.]
242,0,[0.]
243,0,[0.]
244,0,[0.]
245,0,[0.]
246,0,[0.]
247,0,[0.]
248,0,[0.]
249,0,[0.]
250,0,[0.]
251,0,[0.]
252,0,[0.]
253,0,[0.]
254,0,[0.]
255,0,[0.]
256,0,[0.]
257,0,[0.]
258,1,[0.]
259,0,[0.]
260,0,[0.]
261,0,[0.]
262,0,[0.]
263,0,[0.]
264,1,[0.]
265,5,[0.]
266,2,[0.]
267,0,[0.]
268,0,[0.]
269,0,[0.]
270,6,[0.]
271,0,[0.]
272,2,[0.]
273,1,[0.]
274,13,[0.]
275,0,[0.]
276,0,[0.]
277,0,[0.]
278,0,[0.]
279,2,[0.]
280,0,[0.]
281,1,[0.]
282,2,[0.]
283,5,[0.]
284,2,[0.]
285,0,[0.]
286,0,[0.]
287,1,[0.]
288,0,[0.]
289,0,[0.]
290,0,[0.]
291,0,[0.]
292,1,[0.]
293,3,[0.]
294,0,[0.]
295,0,[0.]
296,0,[0.]
297,2,[0.]
298,0,[0.]
299,0,[0.]
300,0,[0.]
301,0,[0.]
302,0,[0.]
303,0,[0.]
304,0,[0.]
305,0,[0.]
306,0,[0.]
307,0,[0.]
308,0,[0.]
309,0,[0.]
310,0,[0.]
311,0,[0.]
312,0,[0.]
313,0,[0.]
314,0,[0.]
315,0,[0.]
316,0,[0.]
317,0,[0.]
318,0,[0.]
319,0,[0.]
320,0,[0.]
321,0,[0.]
322,0,[0.]
323,0,[0.]
324,0,[0.]
325,0,[0.]
326,0,[0.]
327,0,[0.]
328,0,[0.]
329,0,[0.]
330,0,[0.]
331,0,[0.]
332,0,[0.]
333,0,[0.]
334,0,[0.]
335,0,[0.]
336,0,[0.]
337,0,[0.]
338,0,[0.]
339,0,[0.]
340,0,[1.]
341,0,[1.]
342,3,[1.]
343,4,[1.]
344,0,[1.]
345,0,[1.]
346,0,[1.]
347,0,[1.]
348,0,[1.]
349,2,[1.]
350,0,[1.]
351,0,[1.]
352,0,[1.]
353,0,[1.]
354,0,[1.]
355,0,[1.]
356,0,[1.]
357,4,[1.]
358,0,[1.]
359,0,[1.]
360,2,[1.]
361,1,[1.]
362,0,[1.]
363,0,[1.]
364,0,[1.]
365,0,[1.]
366,0,[1.]
367,0,[1.]
368,0,[1.]
369,0,[1.]
370,1,[1.]
371,1,[1.]
372,1,[1.]
373,0,[1.]
374,0,[1.]
375,0,[1.]
376,0,[1.]
377,0,[1.]
378,0,[1.]
379,0,[1.]
