file_index,original_value,predict_value
0,4,[1.]
1,0,[1.]
2,1,[1.]
3,4,[1.]
4,4,[1.]
5,0,[1.]
6,3,[1.]
7,1,[1.]
8,0,[1.]
9,0,[1.]
10,0,[1.]
11,0,[1.]
12,0,[2.]
13,1,[2.]
14,5,[2.]
15,0,[2.]
16,2,[2.]
17,0,[2.]
18,0,[2.]
19,6,[2.]
20,2,[2.]
21,0,[2.]
22,0,[2.]
23,0,[2.]
24,0,[2.]
25,1,[2.]
26,3,[2.]
27,2,[2.]
28,0,[2.]
29,1,[2.]
30,0,[2.]
31,2,[2.]
32,0,[2.]
33,2,[2.]
34,0,[2.]
35,0,[2.]
36,1,[2.]
37,0,[2.]
38,2,[2.]
39,6,[2.]
40,0,[2.]
41,0,[2.]
42,1,[2.]
43,2,[2.]
44,2,[2.]
45,0,[2.]
46,7,[2.]
47,0,[2.]
48,0,[2.]
49,1,[2.]
50,0,[2.]
51,1,[2.]
52,1,[2.]
53,0,[2.]
54,0,[2.]
55,0,[2.]
56,3,[7.]
57,1,[1.]
58,0,[7.]
59,1,[1.]
60,1,[1.]
61,0,[1.]
62,2,[7.]
63,0,[1.]
64,7,[7.]
65,6,[7.]
66,0,[1.]
67,0,[1.]
68,1,[1.]
69,5,[1.]
70,0,[1.]
71,4,[1.]
72,1,[1.]
73,2,[1.]
74,3,[1.]
75,0,[1.]
76,12,[1.]
77,0,[1.]
78,3,[2.]
79,4,[2.]
80,0,[2.]
81,0,[2.]
82,1,[2.]
83,4,[2.]
84,0,[2.]
85,0,[2.]
86,0,[2.]
87,2,[2.]
88,0,[29.]
89,36,[1.]
90,1,[1.]
91,0,[1.]
92,2,[1.]
93,1,[1.]
94,25,[1.]
95,13,[1.]
96,4,[1.]
97,1,[1.]
98,3,[1.]
99,0,[1.]
100,0,[2.]
101,2,[2.]
102,3,[2.]
103,2,[2.]
104,1,[2.]
105,2,[2.]
106,1,[2.]
107,3,[2.]
108,0,[2.]
109,2,[2.]
110,0,[2.]
