file_index,original_value,predict_value
0,0,2.0
1,0,2.0
2,3,2.0
3,1,1.0
4,2,1.0
5,4,2.0
6,4,3.0
7,5,3.0
8,3,2.0
9,13,9.0
10,0,1.0
11,0,1.0
12,0,1.0
13,0,0.0
14,25,23.0
15,0,2.0
16,0,1.0
17,4,6.0
18,0,1.0
19,6,2.0
20,3,1.0
21,2,17.0
22,0,6.0
23,1,1.0
24,2,2.0
25,6,4.0
26,2,4.0
27,0,1.0
28,2,2.0
29,0,1.0
30,0,1.0
31,1,2.0
32,0,1.0
33,0,1.0
34,3,6.0
35,4,8.0
36,1,1.0
37,1,1.0
38,5,8.0
39,2,16.0
40,4,3.0
41,0,1.0
42,0,1.0
43,1,2.0
44,0,2.0
45,1,3.0
46,0,2.0
47,1,2.0
48,1,3.0
49,0,2.0
50,0,20.0
51,1,4.0
52,1,2.0
53,2,3.0
54,2,5.0
55,2,8.0
56,0,2.0
57,0,1.0
58,0,3.0
59,0,1.0
60,4,2.0
61,2,3.0
62,0,8.0
63,0,1.0
64,1,3.0
65,7,10.0
66,12,28.0
67,0,2.0
68,2,2.0
69,0,5.0
70,0,3.0
71,2,2.0
72,1,2.0
73,0,3.0
74,0,2.0
75,1,5.0
76,4,15.0
77,0,2.0
78,1,2.0
79,3,2.0
80,1,2.0
81,0,1.0
82,3,3.0
83,3,1.0
84,0,2.0
85,1,2.0
86,0,2.0
87,2,1.0
88,0,1.0
89,36,9.0
90,0,1.0
91,0,4.0
92,2,3.0
93,3,11.0
94,6,11.0
95,2,4.0
96,0,1.0
97,0,2.0
98,0,1.0
99,0,4.0
100,7,8.0
101,1,3.0
102,0,1.0
103,1,1.0
104,1,2.0
105,1,1.0
106,0,2.0
107,2,4.0
108,0,9.0
109,0,1.0
110,0,15.0
