file_index,original_value,predict_value
0,0,1.0
1,1,1.0
2,3,3.0
3,1,2.0
4,0,1.0
5,2,7.0
6,0,3.0
7,0,1.0
8,0,1.0
9,1,1.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,5.0
14,0,0.0
15,0,0.0
16,0,0.0
17,3,4.0
18,3,4.0
19,7,4.0
20,0,1.0
21,0,12.0
22,0,1.0
23,0,1.0
24,0,1.0
25,0,6.0
26,0,0.0
27,0,1.0
28,0,0.0
29,0,1.0
30,0,0.0
31,2,-0.0
32,0,0.0
33,0,1.0
34,0,0.0
35,2,3.0
36,6,4.0
37,0,0.0
38,0,1.0
39,0,0.0
40,3,13.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,1,0.0
46,0,0.0
47,0,0.0
48,0,0.0
49,0,0.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,25.0
54,0,0.0
55,0,0.0
56,0,0.0
57,1,0.0
58,1,0.0
59,0,0.0
60,0,0.0
61,2,6.0
62,0,7.0
63,2,0.0
64,0,0.0
65,0,0.0
66,2,13.0
67,0,0.0
68,0,0.0
69,0,1.0
70,0,0.0
71,0,5.0
72,1,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,0,0.0
77,0,0.0
78,0,0.0
79,0,0.0
80,0,0.0
81,0,0.0
82,0,0.0
83,1,0.0
84,0,1.0
85,0,5.0
86,14,14.0
87,1,-0.0
88,0,0.0
89,0,7.0
90,0,-0.0
91,0,0.0
92,0,0.0
93,0,14.0
94,0,1.0
95,0,0.0
96,1,0.0
97,4,13.0
98,0,0.0
99,0,0.0
100,0,0.0
101,0,0.0
102,0,1.0
103,0,-0.0
104,0,0.0
105,0,0.0
106,0,0.0
107,0,-0.0
108,0,0.0
109,0,1.0
110,0,-0.0
111,0,0.0
112,0,0.0
113,2,0.0
114,0,0.0
115,1,3.0
116,1,1.0
117,1,1.0
118,0,3.0
119,0,0.0
120,0,0.0
121,0,0.0
122,0,2.0
123,0,0.0
124,1,13.0
125,1,0.0
126,1,4.0
127,0,0.0
128,0,0.0
129,0,0.0
130,0,0.0
131,0,1.0
132,0,1.0
133,0,6.0
134,0,14.0
135,0,0.0
136,0,1.0
137,0,0.0
138,0,1.0
139,0,0.0
140,0,0.0
141,4,7.0
142,0,0.0
143,0,0.0
144,0,5.0
145,1,0.0
146,0,0.0
147,0,0.0
148,0,2.0
149,23,-17.0
150,9,23.0
151,2,14.0
152,1,1.0
153,0,0.0
154,0,-0.0
155,0,1.0
156,0,0.0
157,0,1.0
158,0,-0.0
159,0,-0.0
160,0,0.0
161,0,0.0
162,0,0.0
163,0,0.0
164,0,-0.0
165,0,0.0
166,0,0.0
167,0,-0.0
168,0,-0.0
169,0,1.0
170,0,1.0
171,0,1.0
172,5,7.0
173,0,1.0
174,0,1.0
175,1,1.0
176,0,1.0
177,0,1.0
178,1,1.0
179,0,1.0
180,1,6.0
181,0,1.0
182,0,1.0
183,0,1.0
184,0,1.0
185,0,1.0
186,1,1.0
187,3,1.0
188,1,4.0
189,0,1.0
190,0,1.0
191,0,1.0
192,0,1.0
193,0,1.0
194,0,1.0
195,0,11.0
196,0,1.0
197,1,0.0
198,0,1.0
199,1,0.0
200,0,1.0
201,1,0.0
202,1,-0.0
203,3,4.0
204,2,3.0
205,0,1.0
206,0,0.0
207,0,0.0
208,0,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,0,1.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,0.0
217,0,0.0
218,0,20.0
219,0,0.0
220,0,0.0
221,0,14.0
222,0,0.0
223,0,0.0
224,0,0.0
225,0,0.0
226,0,0.0
227,0,0.0
228,2,11.0
229,2,6.0
230,15,16.0
231,1,1.0
232,2,5.0
233,0,1.0
234,0,0.0
235,0,5.0
236,0,9.0
237,0,0.0
238,2,2.0
239,4,7.0
240,0,0.0
241,1,4.0
242,0,0.0
243,0,0.0
244,1,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,0,0.0
249,0,0.0
250,0,0.0
251,0,0.0
252,0,1.0
253,2,0.0
254,0,0.0
255,0,-0.0
256,2,-0.0
257,3,1.0
258,0,-0.0
259,3,8.0
260,0,-0.0
261,0,0.0
262,0,0.0
263,0,0.0
264,1,8.0
265,0,-0.0
266,0,-0.0
267,0,-0.0
268,1,0.0
269,1,5.0
270,7,13.0
271,0,0.0
272,0,-0.0
273,0,-0.0
274,0,2.0
275,0,0.0
276,0,-0.0
277,0,0.0
278,0,0.0
279,0,0.0
280,0,-0.0
