file_index,original_value,predict_value
0,1,4.0
1,2,3.0
2,1,4.0
3,1,4.0
4,5,20.0
5,2,10.0
6,1,6.0
7,1,5.0
8,0,3.0
9,0,3.0
10,0,3.0
11,2,5.0
12,0,8.0
13,3,9.0
14,0,5.0
15,0,2.0
16,0,2.0
17,0,5.0
18,0,6.0
19,0,2.0
20,0,3.0
21,0,2.0
22,0,3.0
23,0,3.0
24,1,2.0
25,1,11.0
26,0,2.0
27,1,2.0
28,2,5.0
29,1,6.0
30,1,8.0
31,3,3.0
32,4,10.0
33,4,2.0
34,2,1.0
35,0,1.0
36,1,10.0
37,0,5.0
38,3,1.0
39,1,1.0
40,1,1.0
41,2,1.0
42,0,1.0
43,0,1.0
44,0,1.0
45,1,2.0
46,1,1.0
47,0,1.0
48,3,2.0
49,0,2.0
50,1,1.0
51,1,2.0
52,3,1.0
53,2,2.0
54,0,1.0
55,1,1.0
56,4,1.0
57,3,1.0
58,0,1.0
59,0,1.0
60,0,1.0
61,0,22.0
62,4,1.0
63,1,1.0
64,4,2.0
65,0,1.0
66,1,2.0
67,0,3.0
68,2,2.0
69,0,1.0
70,0,1.0
71,0,1.0
72,1,6.0
73,1,7.0
74,1,6.0
75,0,1.0
76,1,1.0
77,0,1.0
78,1,1.0
79,1,4.0
80,1,1.0
81,1,7.0
82,0,1.0
83,2,4.0
84,3,2.0
85,0,7.0
86,5,5.0
87,7,3.0
88,1,2.0
89,0,2.0
90,0,2.0
91,0,5.0
92,0,2.0
93,0,8.0
94,0,4.0
95,0,4.0
96,0,1.0
97,1,2.0
98,1,4.0
99,1,4.0
100,1,1.0
101,1,1.0
102,2,2.0
103,1,1.0
104,2,2.0
105,0,1.0
106,1,1.0
107,1,2.0
108,4,1.0
109,0,1.0
110,4,2.0
111,0,1.0
112,3,2.0
113,0,1.0
114,0,1.0
115,0,1.0
116,0,1.0
117,1,1.0
118,1,2.0
119,0,1.0
120,1,1.0
121,1,3.0
122,2,6.0
123,1,1.0
124,0,1.0
125,1,1.0
126,0,1.0
127,5,0.0
128,11,3.0
129,4,1.0
130,1,2.0
131,1,2.0
132,7,2.0
133,1,1.0
134,1,1.0
135,2,1.0
136,3,2.0
137,0,3.0
138,0,2.0
139,0,0.0
140,0,2.0
141,1,1.0
142,0,2.0
143,1,5.0
144,1,4.0
145,10,8.0
146,1,4.0
147,1,2.0
148,0,4.0
149,1,1.0
150,1,4.0
151,2,2.0
152,4,1.0
153,6,3.0
154,5,1.0
155,0,1.0
156,0,1.0
157,0,1.0
158,0,1.0
159,0,1.0
160,6,4.0
161,1,1.0
162,0,1.0
163,0,1.0
164,0,1.0
165,1,0.0
166,0,1.0
167,1,4.0
168,1,1.0
169,1,3.0
170,0,1.0
171,0,7.0
172,3,1.0
173,0,1.0
174,0,7.0
175,0,1.0
176,1,1.0
177,1,1.0
178,4,1.0
179,6,4.0
180,6,1.0
181,5,4.0
182,0,1.0
183,3,9.0
184,1,2.0
185,0,2.0
186,0,2.0
187,0,1.0
188,0,1.0
189,1,7.0
190,1,10.0
191,0,6.0
192,2,7.0
193,0,6.0
194,1,2.0
195,0,7.0
196,1,8.0
197,3,6.0
198,0,8.0
199,0,3.0
200,8,12.0
201,20,7.0
202,14,7.0
203,2,13.0
204,12,12.0
205,0,3.0
206,0,5.0
207,1,2.0
208,0,2.0
209,0,4.0
210,0,2.0
211,1,7.0
212,1,1.0
213,1,1.0
214,1,1.0
215,3,1.0
216,2,6.0
217,1,2.0
218,1,4.0
219,1,0.0
220,1,1.0
221,1,4.0
222,1,1.0
223,1,4.0
224,1,1.0
225,4,0.0
226,2,2.0
227,4,3.0
228,0,0.0
229,0,0.0
230,1,2.0
231,0,0.0
232,0,1.0
233,0,1.0
234,1,2.0
