file_index,original_value,predict_value
0,0,-0.0
1,0,2.0
2,3,6.0
3,0,1.0
4,0,0.0
5,0,1.0
6,0,-0.0
7,0,1.0
8,0,2.0
9,0,0.0
10,0,0.0
11,0,1.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,2.0
17,0,3.0
18,1,-0.0
19,1,1.0
20,2,0.0
21,1,2.0
22,1,1.0
23,0,-0.0
24,0,1.0
25,0,1.0
26,3,3.0
27,1,0.0
28,0,0.0
29,0,4.0
30,1,0.0
31,1,-0.0
32,1,1.0
33,1,1.0
34,0,1.0
35,0,0.0
36,2,2.0
37,2,1.0
38,0,0.0
39,0,0.0
40,0,0.0
41,0,0.0
42,0,1.0
43,0,1.0
44,0,0.0
45,1,2.0
46,0,3.0
47,1,0.0
48,1,0.0
49,3,2.0
50,1,1.0
51,0,0.0
52,0,0.0
53,1,2.0
54,0,1.0
55,1,1.0
56,0,1.0
57,1,0.0
58,0,0.0
59,1,1.0
60,0,0.0
61,1,1.0
62,0,0.0
63,0,0.0
64,0,0.0
65,0,1.0
66,0,0.0
67,0,1.0
68,0,0.0
69,1,1.0
70,1,1.0
71,3,0.0
72,0,0.0
73,1,2.0
74,1,3.0
75,2,6.0
76,1,1.0
77,0,0.0
78,0,0.0
79,0,1.0
80,1,0.0
81,0,1.0
82,0,5.0
83,0,0.0
84,0,1.0
85,0,1.0
86,0,0.0
87,0,-0.0
88,2,2.0
89,0,0.0
90,0,0.0
91,2,0.0
92,0,0.0
93,0,0.0
94,0,0.0
95,0,1.0
96,0,4.0
97,0,0.0
98,0,1.0
99,0,0.0
100,2,2.0
101,2,5.0
102,1,0.0
103,2,2.0
104,0,0.0
105,0,0.0
106,1,2.0
107,0,6.0
108,0,1.0
109,0,0.0
110,0,0.0
111,0,0.0
112,0,0.0
113,0,0.0
114,2,1.0
115,0,1.0
116,0,1.0
117,0,0.0
118,0,0.0
119,0,1.0
120,0,0.0
121,1,0.0
122,1,1.0
123,0,0.0
124,0,1.0
125,4,1.0
126,0,1.0
127,0,3.0
128,0,1.0
129,0,1.0
130,0,0.0
131,1,6.0
132,0,3.0
133,0,0.0
134,1,0.0
135,1,2.0
136,1,7.0
137,0,0.0
138,1,-0.0
139,0,-0.0
140,0,0.0
141,0,1.0
142,0,5.0
143,0,0.0
144,0,0.0
145,0,-0.0
146,0,4.0
147,0,-0.0
148,0,1.0
149,1,1.0
150,2,0.0
151,1,4.0
152,0,0.0
153,0,0.0
154,1,1.0
155,0,-0.0
156,2,1.0
157,0,1.0
158,0,0.0
159,0,1.0
160,0,0.0
161,0,1.0
162,0,1.0
163,2,2.0
164,2,0.0
165,0,1.0
166,0,-0.0
167,0,2.0
168,0,1.0
169,0,1.0
170,1,0.0
171,1,2.0
172,0,1.0
173,0,1.0
174,0,1.0
175,0,1.0
176,0,1.0
177,0,1.0
178,0,0.0
179,1,1.0
180,0,1.0
181,0,0.0
182,0,1.0
183,1,1.0
184,1,3.0
185,0,1.0
186,0,0.0
187,0,0.0
188,1,-0.0
189,0,2.0
190,2,0.0
191,1,-0.0
192,0,0.0
193,0,0.0
194,0,0.0
195,2,1.0
196,0,-0.0
197,0,0.0
198,4,0.0
199,0,1.0
200,0,0.0
201,0,0.0
202,6,4.0
203,1,0.0
204,0,0.0
205,0,4.0
206,0,0.0
207,4,0.0
208,0,1.0
209,2,1.0
210,0,4.0
211,0,2.0
212,0,0.0
213,3,0.0
214,0,3.0
215,3,2.0
216,0,0.0
217,1,0.0
218,0,1.0
219,0,0.0
220,0,2.0
221,0,1.0
222,0,1.0
223,0,0.0
224,1,0.0
225,2,5.0
226,2,2.0
227,1,1.0
228,2,0.0
229,0,0.0
230,0,1.0
231,0,0.0
232,9,3.0
233,2,0.0
234,0,0.0
235,1,0.0
236,0,-0.0
237,0,0.0
238,0,0.0
239,4,4.0
240,1,0.0
241,0,0.0
242,0,-0.0
243,0,0.0
244,0,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,2,0.0
249,0,1.0
250,1,0.0
251,0,0.0
252,0,0.0
253,1,0.0
254,1,1.0
255,0,0.0
