file_index,original_value,predict_value
0,4,2.0
1,5,2.0
2,2,3.0
3,1,2.0
4,1,2.0
5,0,2.0
6,1,2.0
7,2,2.0
8,2,2.0
9,3,7.0
10,0,2.0
11,1,2.0
12,1,9.0
13,0,2.0
14,1,2.0
15,1,2.0
16,2,4.0
17,1,2.0
18,1,2.0
19,0,2.0
20,1,2.0
21,0,2.0
22,0,1.0
23,0,1.0
24,2,1.0
25,4,3.0
26,2,8.0
27,1,1.0
28,3,1.0
29,2,1.0
30,2,3.0
31,0,1.0
32,0,1.0
33,0,1.0
34,0,1.0
35,0,1.0
36,0,1.0
37,2,3.0
38,5,6.0
39,2,1.0
40,0,1.0
41,2,1.0
42,0,6.0
43,0,1.0
44,1,1.0
45,1,3.0
46,1,1.0
47,0,1.0
48,9,2.0
49,0,7.0
50,7,8.0
51,5,4.0
52,0,1.0
53,0,1.0
54,1,2.0
55,0,2.0
56,1,1.0
57,8,4.0
58,0,1.0
59,3,3.0
60,1,4.0
61,4,6.0
62,1,4.0
63,0,2.0
64,0,1.0
65,1,1.0
66,0,1.0
67,1,6.0
68,1,2.0
69,1,1.0
70,1,1.0
71,1,2.0
72,0,1.0
73,1,1.0
74,2,1.0
75,4,7.0
76,0,1.0
77,1,1.0
78,3,2.0
79,0,2.0
80,2,1.0
81,0,1.0
82,1,1.0
83,1,15.0
84,0,1.0
85,5,5.0
86,1,1.0
87,0,13.0
88,0,2.0
89,1,16.0
90,3,4.0
91,0,2.0
92,0,2.0
93,1,2.0
94,0,5.0
95,0,2.0
96,10,5.0
97,1,1.0
98,2,1.0
99,0,1.0
100,0,2.0
101,0,2.0
102,2,10.0
103,0,2.0
104,1,2.0
105,1,2.0
106,0,17.0
107,0,1.0
108,1,0.0
109,2,1.0
110,3,19.0
111,1,1.0
112,1,1.0
113,2,0.0
114,1,1.0
115,3,1.0
116,3,4.0
117,1,1.0
118,2,2.0
119,0,0.0
120,2,1.0
121,3,1.0
122,3,6.0
123,2,1.0
124,1,12.0
125,0,1.0
126,2,2.0
127,2,2.0
128,0,1.0
129,1,1.0
130,1,1.0
131,1,1.0
132,0,1.0
133,1,1.0
134,2,2.0
135,1,1.0
136,5,1.0
137,1,1.0
138,0,1.0
139,0,1.0
140,1,1.0
141,0,1.0
142,0,1.0
143,2,2.0
144,8,7.0
145,2,2.0
146,0,1.0
147,1,1.0
148,2,5.0
149,5,2.0
150,0,1.0
151,0,1.0
152,1,0.0
153,1,1.0
154,3,5.0
155,7,1.0
156,8,9.0
157,5,8.0
158,3,2.0
159,2,1.0
160,1,-0.0
161,7,3.0
162,3,3.0
163,1,1.0
164,0,1.0
165,0,1.0
166,1,1.0
167,1,0.0
168,9,4.0
169,2,2.0
170,2,3.0
171,2,0.0
172,0,8.0
173,2,6.0
174,1,1.0
175,0,1.0
176,0,1.0
177,1,1.0
178,1,4.0
179,0,2.0
180,2,2.0
181,0,1.0
182,1,1.0
183,2,2.0
184,5,7.0
185,2,2.0
186,3,2.0
187,1,1.0
188,0,1.0
189,2,6.0
190,0,9.0
191,0,1.0
192,1,1.0
193,0,3.0
194,1,2.0
195,0,2.0
196,0,2.0
197,1,2.0
198,1,2.0
199,5,3.0
200,5,2.0
201,6,2.0
202,0,2.0
203,2,2.0
204,1,2.0
205,0,2.0
206,3,2.0
207,2,2.0
208,0,2.0
209,0,2.0
210,2,2.0
211,0,2.0
212,1,2.0
213,0,2.0
