file_index,original_value,predict_value
0,0,1.0
1,0,1.0
2,0,1.0
3,0,1.0
4,1,1.0
5,0,1.0
6,3,1.0
7,3,9.0
8,2,1.0
9,0,1.0
10,5,1.0
11,2,8.0
12,4,1.0
13,0,1.0
14,0,1.0
15,7,1.0
16,0,1.0
17,0,1.0
18,1,1.0
19,0,1.0
20,0,1.0
21,2,1.0
22,1,1.0
23,1,1.0
24,2,1.0
25,9,1.0
26,0,1.0
27,2,1.0
28,4,1.0
29,1,1.0
30,4,1.0
31,5,1.0
32,1,1.0
33,1,1.0
34,0,1.0
35,0,1.0
36,2,1.0
37,2,1.0
38,0,1.0
39,0,17.0
40,0,1.0
41,0,1.0
42,0,1.0
43,0,1.0
44,0,1.0
45,0,1.0
46,0,1.0
47,0,2.0
48,0,1.0
49,0,1.0
50,0,3.0
51,0,1.0
52,0,1.0
53,0,1.0
54,0,1.0
55,0,1.0
56,0,1.0
57,0,1.0
58,0,1.0
59,0,1.0
60,1,1.0
61,0,1.0
62,0,1.0
63,4,1.0
64,0,1.0
65,0,1.0
66,5,1.0
67,2,1.0
68,0,1.0
69,2,1.0
70,1,1.0
71,0,1.0
72,0,1.0
73,0,1.0
74,0,1.0
75,4,1.0
76,0,1.0
77,9,1.0
78,10,1.0
79,1,1.0
80,4,1.0
81,0,1.0
82,0,1.0
83,1,1.0
84,0,1.0
85,2,1.0
86,0,1.0
87,0,1.0
88,0,1.0
89,0,1.0
90,0,1.0
91,0,1.0
92,2,1.0
93,3,1.0
94,3,1.0
95,3,1.0
96,0,1.0
97,0,1.0
98,1,1.0
99,1,1.0
100,0,1.0
101,0,1.0
102,0,1.0
103,0,1.0
104,0,1.0
105,0,1.0
106,0,1.0
107,0,1.0
108,0,1.0
109,0,1.0
110,0,1.0
111,0,1.0
112,0,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,0,1.0
117,0,1.0
118,0,1.0
119,0,1.0
120,0,1.0
121,1,1.0
122,1,1.0
123,1,1.0
124,0,1.0
125,3,1.0
126,0,1.0
127,0,1.0
128,7,2.0
129,1,1.0
130,1,1.0
131,1,1.0
132,1,1.0
133,0,1.0
134,1,1.0
135,0,1.0
136,0,1.0
137,1,1.0
138,0,1.0
139,0,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,6,1.0
145,0,1.0
146,0,1.0
147,2,1.0
148,0,1.0
149,0,1.0
150,0,1.0
151,28,2.0
152,6,1.0
153,2,1.0
154,3,1.0
155,0,1.0
156,0,1.0
157,1,1.0
158,0,1.0
159,0,1.0
160,0,1.0
161,0,1.0
162,0,1.0
163,0,1.0
164,0,1.0
165,0,1.0
166,0,1.0
167,0,1.0
168,0,1.0
169,0,1.0
170,0,1.0
171,0,1.0
172,0,1.0
173,0,1.0
174,0,1.0
175,0,1.0
176,0,1.0
177,0,1.0
178,0,1.0
179,0,1.0
180,1,1.0
181,2,1.0
182,1,1.0
183,0,1.0
184,4,1.0
185,0,1.0
186,1,1.0
187,0,1.0
188,1,1.0
189,2,1.0
190,1,1.0
191,0,1.0
192,0,1.0
193,0,1.0
194,1,1.0
195,1,1.0
196,0,1.0
197,1,1.0
198,0,1.0
199,5,1.0
200,5,1.0
201,3,1.0
202,4,1.0
203,2,1.0
204,3,1.0
205,0,1.0
206,0,1.0
207,2,1.0
208,0,1.0
209,3,1.0
210,0,1.0
211,2,1.0
212,4,1.0
213,0,1.0
214,3,1.0
215,0,1.0
216,0,1.0
217,0,1.0
218,0,1.0
219,0,1.0
220,0,1.0
221,0,1.0
222,0,1.0
223,0,1.0
224,0,1.0
225,0,1.0
226,0,1.0
227,0,1.0
228,0,1.0
229,0,1.0
230,0,1.0
231,0,1.0
232,0,1.0
233,0,1.0
234,0,1.0
235,0,1.0
236,0,1.0
237,0,1.0
238,0,1.0
239,0,1.0
240,0,1.0
241,1,1.0
242,1,1.0
243,3,1.0
244,1,1.0
245,0,1.0
246,0,1.0
247,1,1.0
248,4,1.0
249,2,1.0
250,1,1.0
251,8,2.0
252,0,1.0
253,0,1.0
254,0,1.0
255,0,1.0
256,9,1.0
257,0,1.0
258,1,1.0
259,0,1.0
260,1,1.0
261,1,1.0
262,2,1.0
263,1,1.0
264,0,1.0
265,4,1.0
266,8,1.0
267,1,1.0
268,7,2.0
269,1,1.0
270,1,1.0
271,2,1.0
272,3,1.0
273,4,1.0
274,5,1.0
275,2,1.0
276,2,1.0
277,1,1.0
278,0,1.0
279,1,1.0
280,1,1.0
281,1,1.0
282,0,1.0
283,0,1.0
284,0,1.0
285,0,1.0
286,0,1.0
287,0,1.0
288,0,1.0
289,0,1.0
290,0,1.0
291,0,1.0
292,0,1.0
293,0,1.0
294,0,1.0
295,0,1.0
296,0,1.0
297,0,1.0
298,0,1.0
299,0,1.0
300,0,1.0
301,1,1.0
302,0,1.0
303,1,1.0
304,0,1.0
305,4,1.0
306,0,1.0
307,1,1.0
308,1,1.0
309,1,1.0
310,0,1.0
311,0,1.0
312,1,1.0
313,1,1.0
314,1,1.0
315,0,1.0
316,0,1.0
317,0,1.0
318,1,1.0
319,2,1.0
320,1,1.0
321,1,1.0
322,1,1.0
323,0,1.0
324,3,1.0
325,4,1.0
326,2,1.0
327,3,1.0
328,0,1.0
329,1,1.0
330,0,1.0
331,0,1.0
332,3,3.0
333,0,1.0
334,1,1.0
335,2,1.0
336,0,1.0
337,0,1.0
338,0,1.0
339,0,1.0
340,0,1.0
341,0,1.0
342,0,1.0
343,0,1.0
344,0,1.0
345,0,1.0
346,0,1.0
347,0,1.0
