file_index,original_value,predict_value
0,2,2.0
1,2,2.0
2,3,2.0
3,3,2.0
4,3,2.0
5,2,2.0
6,3,2.0
7,2,2.0
8,1,2.0
9,2,2.0
10,0,2.0
11,2,2.0
12,2,2.0
13,2,2.0
14,2,2.0
15,8,2.0
16,4,2.0
17,0,2.0
18,4,2.0
19,3,2.0
20,3,3.0
21,3,3.0
22,3,3.0
23,7,3.0
24,2,3.0
25,3,3.0
26,2,3.0
27,1,3.0
28,1,3.0
29,2,3.0
30,2,3.0
31,3,3.0
32,3,3.0
33,5,3.0
34,3,3.0
35,4,3.0
36,2,3.0
37,2,3.0
38,3,3.0
39,3,3.0
40,2,4.0
41,2,4.0
42,5,4.0
43,3,4.0
44,3,4.0
45,3,4.0
46,1,3.0
47,1,4.0
48,2,3.0
49,2,4.0
50,2,4.0
51,0,4.0
52,2,4.0
53,3,3.0
54,5,4.0
55,2,3.0
56,2,4.0
57,2,3.0
58,4,3.0
59,2,4.0
60,3,2.0
61,4,2.0
62,2,2.0
63,2,2.0
64,2,2.0
65,4,2.0
66,0,2.0
67,1,2.0
68,2,2.0
69,3,2.0
70,2,2.0
71,2,2.0
72,4,2.0
73,2,2.0
74,4,2.0
75,2,2.0
76,2,2.0
77,2,2.0
78,3,2.0
79,2,2.0
80,2,3.0
81,2,3.0
82,2,3.0
83,2,3.0
84,1,3.0
85,1,3.0
86,1,3.0
87,2,3.0
88,2,3.0
89,2,3.0
90,2,3.0
91,3,3.0
92,3,4.0
93,2,3.0
94,5,4.0
95,2,3.0
96,2,3.0
97,2,3.0
98,3,3.0
99,4,4.0
100,3,4.0
101,2,4.0
102,4,4.0
103,5,4.0
104,2,4.0
105,0,4.0
106,2,4.0
107,3,4.0
108,2,4.0
109,3,4.0
110,2,4.0
111,2,4.0
112,2,4.0
113,2,4.0
114,4,4.0
115,2,4.0
116,2,4.0
117,4,4.0
118,5,3.0
119,2,3.0
120,2,3.0
121,1,3.0
122,1,3.0
123,2,3.0
124,3,3.0
125,3,3.0
126,2,3.0
127,2,3.0
128,3,3.0
129,2,3.0
130,6,3.0
131,0,3.0
132,2,3.0
133,2,3.0
134,3,3.0
135,2,3.0
136,2,3.0
137,3,3.0
138,2,3.0
139,4,3.0
140,3,3.0
141,3,3.0
142,2,3.0
143,1,3.0
144,1,3.0
145,1,3.0
146,2,3.0
147,2,3.0
148,2,3.0
149,2,3.0
150,3,3.0
151,2,3.0
152,2,3.0
153,0,3.0
154,2,3.0
155,2,3.0
156,5,2.0
157,4,2.0
158,5,2.0
159,2,2.0
160,9,2.0
161,2,2.0
162,10,2.0
163,2,2.0
164,0,2.0
165,3,2.0
166,2,8.0
167,2,2.0
168,3,4.0
169,2,2.0
170,2,2.0
171,3,2.0
172,6,2.0
173,2,2.0
174,2,2.0
175,3,2.0
176,7,2.0
177,2,2.0
178,2,2.0
179,1,2.0
180,1,2.0
181,2,2.0
182,2,2.0
183,2,2.0
184,4,2.0
185,2,2.0
186,2,2.0
187,2,2.0
188,2,2.0
189,3,2.0
190,2,2.0
191,2,2.0
192,2,2.0
193,7,2.0
