file_index,original_value,predict_value
0,8,1.0
1,1,1.0
2,1,1.0
3,0,1.0
4,2,1.0
5,0,1.0
6,1,1.0
7,1,1.0
8,0,1.0
9,2,1.0
10,1,1.0
11,1,1.0
12,1,1.0
13,2,1.0
14,1,1.0
15,4,2.0
16,0,1.0
17,1,1.0
18,1,1.0
19,11,2.0
20,11,1.0
21,3,1.0
22,2,1.0
23,1,1.0
24,1,1.0
25,0,1.0
26,1,2.0
27,1,1.0
28,0,1.0
29,1,1.0
30,0,1.0
31,2,1.0
32,0,1.0
33,1,1.0
34,2,1.0
35,0,1.0
36,2,1.0
37,0,1.0
38,3,1.0
39,0,1.0
40,0,1.0
41,1,1.0
42,1,1.0
43,0,1.0
44,0,1.0
45,0,1.0
46,4,1.0
47,4,1.0
48,2,1.0
49,2,1.0
50,0,1.0
51,3,1.0
52,0,1.0
53,2,1.0
54,1,1.0
55,0,1.0
56,6,1.0
57,1,1.0
58,2,1.0
59,0,1.0
60,0,1.0
61,0,1.0
62,1,1.0
63,1,1.0
64,0,1.0
65,0,1.0
66,1,1.0
67,3,1.0
68,0,1.0
69,0,1.0
70,3,1.0
71,1,1.0
72,2,1.0
73,4,1.0
74,0,2.0
75,0,1.0
76,0,1.0
77,2,1.0
78,0,1.0
79,1,1.0
80,0,1.0
81,0,1.0
82,2,1.0
83,2,1.0
84,2,1.0
85,0,1.0
86,2,1.0
87,47,2.0
88,1,1.0
89,3,1.0
90,8,1.0
91,1,1.0
92,11,1.0
93,0,2.0
94,0,1.0
95,2,1.0
96,0,1.0
97,3,1.0
98,7,8.0
99,2,1.0
100,4,1.0
101,0,1.0
102,1,1.0
103,0,1.0
104,3,1.0
105,1,1.0
106,0,1.0
107,1,1.0
108,0,1.0
109,2,1.0
110,0,1.0
111,2,1.0
112,0,1.0
113,1,1.0
114,1,1.0
115,0,1.0
116,0,1.0
117,2,1.0
118,2,1.0
119,4,2.0
120,0,1.0
121,6,1.0
122,0,1.0
123,0,1.0
124,1,1.0
125,1,1.0
126,1,1.0
127,2,1.0
128,0,1.0
129,4,1.0
130,0,1.0
131,1,1.0
132,0,1.0
133,1,1.0
134,1,1.0
135,2,1.0
136,0,1.0
137,3,1.0
138,3,1.0
139,1,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,0,1.0
146,0,1.0
147,1,3.0
148,1,2.0
149,5,4.0
150,0,1.0
151,2,3.0
152,3,2.0
153,0,1.0
154,0,1.0
155,1,2.0
156,2,1.0
157,0,1.0
158,0,1.0
159,0,1.0
160,7,1.0
161,3,1.0
162,2,1.0
163,1,1.0
164,0,1.0
165,1,1.0
166,1,1.0
167,0,1.0
168,1,2.0
169,0,1.0
170,3,2.0
171,2,1.0
172,1,1.0
173,1,1.0
174,0,2.0
175,0,2.0
176,1,2.0
177,0,2.0
178,0,1.0
179,1,2.0
180,2,1.0
181,2,1.0
182,11,3.0
183,0,1.0
184,5,2.0
185,0,1.0
186,1,1.0
187,4,2.0
188,3,1.0
189,0,1.0
190,0,1.0
191,0,1.0
192,0,1.0
193,0,1.0
194,0,1.0
195,0,1.0
196,1,1.0
197,2,1.0
198,0,1.0
199,0,1.0
200,0,1.0
201,0,1.0
202,1,1.0
203,8,1.0
204,2,1.0
205,0,1.0
206,3,1.0
207,11,1.0
208,1,1.0
209,3,1.0
210,0,1.0
211,2,1.0
212,3,1.0
213,0,1.0
214,0,1.0
215,5,1.0
216,2,0.0
217,3,1.0
218,0,1.0
219,1,1.0
220,1,1.0
221,1,1.0
222,2,1.0
223,0,1.0
224,1,1.0
225,0,1.0
226,4,1.0
227,1,1.0
228,1,1.0
229,0,1.0
230,5,1.0
231,11,5.0
232,4,17.0
233,2,1.0
