file_index,original_value,predict_value
0,0,0.0
1,1,0.0
2,2,0.0
3,2,0.0
4,1,0.0
5,2,3.0
6,1,0.0
7,0,0.0
8,0,0.0
9,1,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,2,0.0
15,0,0.0
16,1,0.0
17,1,0.0
18,1,0.0
19,1,0.0
20,4,0.0
21,0,0.0
22,1,0.0
23,1,1.0
24,0,0.0
25,0,0.0
26,0,0.0
27,2,1.0
28,0,0.0
29,0,0.0
30,1,0.0
31,0,0.0
32,1,0.0
33,1,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,0.0
39,0,0.0
40,2,1.0
41,1,0.0
42,0,0.0
43,0,0.0
44,0,0.0
45,3,4.0
46,1,0.0
47,0,0.0
48,2,1.0
49,5,1.0
50,0,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,1,1.0
55,0,0.0
56,1,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,0,0.0
62,2,0.0
63,3,3.0
64,0,0.0
65,1,0.0
66,1,0.0
67,0,0.0
68,0,0.0
69,1,0.0
70,0,0.0
71,0,0.0
72,1,0.0
73,0,0.0
74,0,0.0
75,0,0.0
76,1,0.0
77,1,0.0
78,3,0.0
79,1,0.0
80,0,0.0
81,0,0.0
82,2,0.0
83,2,0.0
84,2,0.0
85,0,0.0
86,0,0.0
87,0,0.0
88,0,1.0
89,2,1.0
90,1,1.0
91,2,1.0
92,0,1.0
93,1,1.0
94,0,1.0
95,0,0.0
96,0,1.0
97,0,1.0
98,0,0.0
99,0,1.0
100,0,0.0
101,2,1.0
102,0,1.0
103,3,1.0
104,0,1.0
105,2,1.0
106,1,1.0
107,0,1.0
108,0,1.0
109,0,1.0
110,1,1.0
111,1,1.0
112,1,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,0,1.0
117,3,15.0
118,1,1.0
119,1,1.0
120,6,1.0
121,1,1.0
122,1,1.0
123,0,1.0
124,1,1.0
125,2,1.0
126,0,1.0
127,1,1.0
128,0,1.0
129,1,1.0
130,0,1.0
131,1,1.0
132,0,1.0
133,1,6.0
134,1,1.0
135,2,1.0
136,0,1.0
137,0,1.0
138,1,1.0
139,0,1.0
140,0,1.0
141,1,1.0
142,0,1.0
143,1,1.0
144,0,1.0
145,1,1.0
146,0,1.0
147,1,1.0
148,0,1.0
149,2,10.0
150,0,1.0
151,0,1.0
152,0,1.0
153,0,1.0
154,2,1.0
155,0,1.0
156,0,1.0
157,1,1.0
158,0,1.0
159,1,1.0
160,2,1.0
161,0,1.0
162,0,1.0
163,0,1.0
164,0,1.0
165,0,1.0
166,2,1.0
167,0,1.0
168,0,1.0
169,0,1.0
170,3,2.0
171,1,1.0
172,0,1.0
173,1,1.0
174,0,1.0
175,1,1.0
176,2,0.0
177,1,0.0
178,1,0.0
179,0,0.0
180,0,0.0
181,0,0.0
182,1,0.0
183,0,0.0
184,0,0.0
185,0,0.0
186,1,0.0
187,2,0.0
188,0,0.0
189,0,0.0
190,1,0.0
191,1,0.0
192,0,0.0
193,0,0.0
194,1,0.0
195,0,0.0
196,0,0.0
197,1,0.0
198,1,0.0
199,0,0.0
200,2,0.0
201,0,0.0
202,3,0.0
203,1,0.0
204,5,1.0
205,0,0.0
206,0,0.0
207,0,0.0
208,1,0.0
209,0,0.0
210,0,0.0
211,0,0.0
212,1,0.0
213,1,0.0
214,0,1.0
215,0,0.0
216,1,0.0
217,0,0.0
218,0,0.0
219,0,0.0
220,1,0.0
221,1,0.0
222,1,0.0
223,0,0.0
224,0,0.0
225,1,0.0
226,0,0.0
227,1,0.0
228,1,0.0
229,0,0.0
230,0,0.0
231,0,0.0
232,0,0.0
233,1,0.0
234,0,0.0
235,1,0.0
236,0,0.0
237,0,0.0
238,0,0.0
239,1,0.0
240,0,0.0
241,0,0.0
242,0,0.0
243,0,0.0
244,1,0.0
245,0,0.0
246,0,0.0
247,0,0.0
248,0,0.0
249,1,0.0
250,0,0.0
251,0,0.0
252,1,0.0
253,1,0.0
254,0,0.0
255,0,0.0
256,0,0.0
257,0,0.0
258,0,0.0
259,0,0.0
260,2,0.0
261,0,0.0
262,3,0.0
263,0,0.0
264,0,1.0
265,0,1.0
266,2,1.0
267,2,1.0
268,2,1.0
269,2,1.0
270,0,1.0
271,1,1.0
272,0,1.0
273,1,1.0
274,2,1.0
275,1,1.0
276,0,1.0
277,0,1.0
278,0,1.0
279,1,1.0
280,1,1.0
281,1,1.0
282,1,1.0
283,1,1.0
284,0,1.0
285,3,1.0
286,1,1.0
287,5,2.0
288,0,1.0
289,0,1.0
290,1,1.0
291,1,1.0
292,0,1.0
293,0,1.0
294,1,1.0
295,2,1.0
296,2,3.0
297,1,1.0
298,0,1.0
299,0,1.0
300,1,1.0
301,1,1.0
302,1,1.0
303,0,1.0
304,0,1.0
305,0,1.0
306,2,1.0
307,0,1.0
308,0,1.0
309,0,1.0
310,2,2.0
311,0,1.0
312,1,1.0
313,0,1.0
314,0,1.0
315,1,1.0
316,1,1.0
317,0,1.0
318,0,1.0
319,0,1.0
320,0,1.0
321,3,1.0
322,0,1.0
323,0,1.0
324,0,1.0
325,1,1.0
326,0,1.0
327,1,1.0
328,1,1.0
329,1,2.0
330,0,1.0
331,2,1.0
332,0,1.0
333,0,1.0
334,1,1.0
335,5,3.0
336,0,1.0
337,0,1.0
338,0,3.0
339,0,1.0
340,2,8.0
341,0,1.0
342,2,1.0
343,2,1.0
344,2,1.0
345,2,1.0
346,0,1.0
347,2,1.0
348,0,1.0
349,4,21.0
350,1,1.0
351,1,1.0
352,1,0.0
353,2,1.0
354,0,0.0
355,0,0.0
356,1,1.0
357,1,1.0
358,2,1.0
359,1,0.0
360,0,0.0
361,0,0.0
362,1,1.0
363,0,0.0
364,0,0.0
365,0,0.0
366,0,0.0
367,0,0.0
368,4,10.0
369,1,0.0
370,1,0.0
371,2,0.0
372,2,0.0
373,1,0.0
374,0,0.0
375,2,1.0
376,0,0.0
377,0,0.0
378,1,0.0
379,0,0.0
380,3,14.0
381,0,0.0
382,0,0.0
383,1,1.0
384,1,0.0
385,0,0.0
386,0,0.0
387,2,1.0
388,0,1.0
389,0,0.0
390,1,0.0
391,0,1.0
392,0,0.0
393,0,1.0
394,1,1.0
395,0,0.0
396,0,0.0
397,1,0.0
398,1,0.0
399,0,0.0
400,0,0.0
401,0,0.0
402,1,0.0
403,0,0.0
404,0,0.0
405,1,0.0
406,0,6.0
407,0,0.0
408,0,0.0
409,0,0.0
410,0,0.0
411,0,0.0
412,0,0.0
413,3,0.0
414,1,0.0
415,1,0.0
416,0,0.0
417,0,1.0
418,0,0.0
419,0,0.0
420,1,0.0
421,0,0.0
422,0,0.0
423,0,0.0
424,0,0.0
425,0,0.0
426,0,0.0
427,0,1.0
428,1,0.0
429,0,0.0
430,0,0.0
431,1,4.0
432,3,1.0
433,3,0.0
434,0,0.0
435,1,0.0
436,0,0.0
437,0,0.0
438,1,0.0
439,1,1.0
440,2,0.0
441,1,0.0
442,1,0.0
443,1,0.0
444,1,0.0
445,0,0.0
446,0,0.0
447,1,0.0
448,0,0.0
449,0,0.0
450,0,0.0
451,1,0.0
452,0,0.0
453,0,0.0
454,1,0.0
455,0,0.0
456,1,0.0
457,0,0.0
458,0,0.0
459,1,0.0
460,0,1.0
461,0,0.0
462,2,0.0
463,9,6.0
464,0,0.0
465,0,0.0
466,1,0.0
467,1,1.0
468,1,0.0
469,1,0.0
470,1,0.0
471,0,0.0
472,1,0.0
473,0,0.0
474,3,4.0
475,1,0.0
476,0,1.0
477,3,4.0
478,4,0.0
479,1,0.0
480,0,0.0
481,1,0.0
482,1,0.0
483,0,0.0
484,0,1.0
485,0,0.0
486,0,0.0
487,0,0.0
488,0,0.0
489,0,0.0
490,1,0.0
491,0,1.0
492,1,0.0
493,3,4.0
494,0,0.0
495,2,0.0
496,1,0.0
497,0,0.0
498,0,0.0
499,0,0.0
500,0,0.0
501,1,0.0
502,1,1.0
503,0,0.0
504,1,1.0
505,0,0.0
506,0,0.0
507,1,0.0
508,0,0.0
509,1,0.0
510,1,0.0
511,0,0.0
512,1,0.0
513,6,7.0
514,2,0.0
515,5,3.0
516,3,0.0
517,0,0.0
518,0,0.0
519,0,0.0
520,0,1.0
521,2,0.0
522,2,5.0
523,2,0.0
524,1,0.0
525,1,1.0
526,2,0.0
527,1,0.0
528,2,0.0
529,2,0.0
530,2,1.0
531,0,0.0
532,0,0.0
533,1,0.0
534,1,0.0
535,0,0.0
536,0,0.0
537,1,0.0
538,0,0.0
539,0,0.0
540,1,0.0
541,0,0.0
542,0,0.0
543,1,0.0
544,5,1.0
545,1,0.0
546,2,0.0
547,1,0.0
548,0,0.0
549,0,0.0
550,0,0.0
551,0,0.0
552,0,0.0
553,1,1.0
554,1,0.0
555,1,0.0
556,1,0.0
557,1,0.0
558,1,0.0
559,0,0.0
560,2,0.0
561,0,0.0
562,1,1.0
563,1,0.0
564,1,0.0
565,1,0.0
566,1,0.0
567,1,0.0
568,1,0.0
569,0,0.0
570,0,0.0
571,1,0.0
572,0,0.0
573,0,0.0
574,0,0.0
575,0,0.0
576,0,0.0
577,0,1.0
578,0,0.0
579,0,0.0
580,0,0.0
581,0,0.0
582,0,0.0
583,0,0.0
584,0,0.0
585,0,0.0
586,0,1.0
587,1,0.0
588,0,0.0
589,0,0.0
590,1,0.0
591,0,0.0
592,0,0.0
593,0,0.0
594,0,0.0
595,0,0.0
596,1,0.0
597,0,0.0
598,0,0.0
599,0,0.0
600,0,0.0
601,0,0.0
602,0,2.0
603,0,0.0
604,0,0.0
605,0,0.0
606,2,2.0
607,0,0.0
608,0,1.0
609,0,0.0
610,0,0.0
611,0,0.0
612,2,3.0
613,1,1.0
614,2,0.0
615,2,0.0
616,1,0.0
617,1,1.0
618,0,0.0
619,2,1.0
620,0,0.0
621,0,0.0
622,0,0.0
623,0,0.0
624,0,0.0
625,0,1.0
626,0,0.0
627,0,0.0
628,1,0.0
629,0,0.0
630,0,0.0
631,1,0.0
632,2,0.0
633,1,0.0
634,2,0.0
635,1,0.0
636,3,3.0
637,2,0.0
638,0,0.0
639,2,1.0
640,1,1.0
641,0,1.0
642,1,0.0
643,1,0.0
644,1,0.0
645,0,0.0
646,0,0.0
647,1,0.0
648,1,0.0
649,0,0.0
650,1,0.0
651,2,18.0
652,1,0.0
653,1,12.0
654,1,1.0
655,1,0.0
656,1,0.0
657,1,0.0
658,1,0.0
659,0,0.0
660,1,0.0
661,0,1.0
662,1,0.0
663,2,0.0
664,0,0.0
665,0,0.0
666,0,0.0
667,1,0.0
668,0,0.0
669,0,0.0
670,0,1.0
671,1,0.0
672,0,0.0
673,1,1.0
674,0,0.0
675,0,0.0
676,0,0.0
677,0,0.0
678,0,0.0
679,0,0.0
680,0,0.0
681,1,0.0
682,1,0.0
683,0,0.0
