file_index,original_value,predict_value
0,2,1.0
1,2,1.0
2,2,1.0
3,1,1.0
4,0,1.0
5,0,1.0
6,0,1.0
7,0,1.0
8,0,1.0
9,0,1.0
10,0,1.0
11,0,1.0
12,1,1.0
13,0,1.0
14,0,1.0
15,1,1.0
16,2,1.0
17,3,1.0
18,2,1.0
19,2,1.0
20,2,1.0
21,2,1.0
22,1,1.0
23,0,1.0
24,0,1.0
25,0,1.0
26,0,1.0
27,0,1.0
28,0,1.0
29,1,1.0
30,0,1.0
31,0,1.0
32,0,1.0
33,0,1.0
34,2,1.0
35,2,1.0
36,2,1.0
37,2,1.0
38,2,1.0
39,0,1.0
40,2,1.0
41,0,1.0
42,0,1.0
43,0,1.0
44,0,1.0
45,2,1.0
46,2,1.0
47,0,1.0
48,0,1.0
49,0,2.0
50,2,1.0
51,2,1.0
52,0,1.0
53,0,1.0
54,2,1.0
55,11,1.0
56,1,1.0
57,0,1.0
58,0,1.0
59,0,1.0
60,0,1.0
61,1,1.0
62,1,1.0
63,0,1.0
64,0,1.0
65,5,1.0
66,2,1.0
67,2,1.0
68,2,1.0
69,2,1.0
70,0,1.0
71,0,1.0
72,0,1.0
73,3,1.0
74,0,1.0
75,0,1.0
76,0,1.0
77,2,1.0
78,0,1.0
79,2,1.0
80,0,1.0
81,2,1.0
82,2,1.0
83,2,1.0
84,4,1.0
85,0,1.0
86,2,1.0
87,5,1.0
88,0,1.0
89,0,1.0
90,0,1.0
91,0,1.0
92,1,1.0
93,0,1.0
94,1,1.0
95,1,1.0
96,0,1.0
97,1,1.0
98,2,1.0
99,2,1.0
100,2,1.0
101,0,1.0
102,0,1.0
103,0,1.0
104,2,1.0
105,0,1.0
106,2,1.0
107,2,1.0
108,0,1.0
109,1,1.0
110,1,1.0
111,0,1.0
112,0,1.0
113,0,1.0
114,2,1.0
115,2,1.0
116,2,1.0
117,2,1.0
118,5,6.0
119,0,1.0
120,0,5.0
121,8,2.0
122,0,1.0
123,1,1.0
124,0,1.0
125,0,1.0
126,0,1.0
127,0,1.0
128,1,1.0
129,0,1.0
130,2,1.0
131,2,1.0
132,2,1.0
133,2,1.0
134,2,1.0
135,1,1.0
136,0,2.0
137,0,1.0
138,0,1.0
139,0,1.0
140,1,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,1,1.0
146,2,1.0
147,1,1.0
148,9,1.0
149,1,1.0
150,0,1.0
151,0,1.0
152,0,1.0
153,0,1.0
154,2,1.0
155,0,1.0
156,0,1.0
157,0,1.0
158,0,1.0
159,0,1.0
160,1,1.0
161,0,1.0
