file_index,original_value,predict_value
0,0,0.0
1,4,1.0
2,3,0.0
3,0,0.0
4,2,0.0
5,3,0.0
6,1,0.0
7,2,1.0
8,2,0.0
9,7,-1.0
10,0,0.0
11,3,1.0
12,3,0.0
13,2,0.0
14,4,0.0
15,0,0.0
16,1,0.0
17,0,0.0
18,1,2.0
19,0,0.0
20,8,1.0
21,1,0.0
22,1,0.0
23,1,0.0
24,0,1.0
25,0,0.0
26,0,0.0
27,1,0.0
28,2,0.0
29,2,0.0
30,0,0.0
31,3,0.0
32,4,0.0
33,0,0.0
34,0,0.0
35,6,0.0
36,1,0.0
37,0,0.0
38,0,-0.0
39,6,0.0
40,0,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,0,1.0
45,0,0.0
46,1,1.0
47,0,0.0
48,0,0.0
49,1,1.0
50,0,1.0
51,0,0.0
52,2,-0.0
53,0,0.0
54,0,0.0
55,2,0.0
56,1,0.0
57,5,1.0
58,2,0.0
59,1,1.0
60,0,0.0
61,0,0.0
62,0,1.0
63,1,1.0
64,0,0.0
65,0,0.0
66,1,1.0
67,0,0.0
68,0,0.0
69,2,0.0
70,0,0.0
71,3,0.0
72,3,1.0
73,0,1.0
74,0,0.0
75,1,1.0
76,1,0.0
77,2,1.0
78,2,1.0
79,0,3.0
80,5,1.0
81,1,0.0
82,1,1.0
83,0,0.0
84,0,0.0
85,2,0.0
86,0,1.0
87,2,0.0
88,1,0.0
89,1,1.0
90,1,0.0
91,0,0.0
92,1,1.0
93,0,1.0
94,1,0.0
95,2,2.0
96,1,1.0
97,1,1.0
98,1,1.0
99,1,0.0
100,2,0.0
101,0,0.0
102,0,1.0
103,1,0.0
104,0,0.0
105,1,0.0
106,1,0.0
107,1,0.0
108,1,1.0
109,2,1.0
110,2,0.0
111,0,0.0
112,0,0.0
113,2,1.0
114,4,0.0
115,0,0.0
116,0,1.0
117,1,0.0
118,0,1.0
119,3,0.0
120,2,0.0
121,1,0.0
122,1,0.0
123,1,1.0
124,0,0.0
125,0,0.0
126,1,1.0
127,2,1.0
128,2,0.0
129,0,0.0
130,0,0.0
131,0,0.0
132,4,10.0
133,3,3.0
134,0,0.0
135,2,0.0
136,0,1.0
137,0,0.0
138,0,1.0
139,0,0.0
140,0,0.0
141,0,-0.0
142,0,1.0
143,0,0.0
144,1,1.0
145,1,0.0
146,0,0.0
147,0,1.0
148,0,0.0
149,0,0.0
150,4,0.0
151,1,0.0
152,1,0.0
153,2,0.0
154,1,1.0
155,2,0.0
156,1,-0.0
157,2,0.0
158,0,0.0
159,1,0.0
160,2,0.0
161,1,0.0
162,1,0.0
163,0,0.0
164,0,1.0
165,3,0.0
166,2,0.0
167,0,0.0
168,1,0.0
169,1,0.0
170,2,0.0
171,1,0.0
172,1,0.0
173,0,1.0
174,0,0.0
175,1,1.0
176,11,8.0
177,0,0.0
178,2,0.0
179,8,3.0
180,0,0.0
181,3,3.0
182,47,5.0
183,1,0.0
184,2,1.0
185,0,0.0
186,11,12.0
187,5,4.0
188,3,1.0
189,0,0.0
190,0,0.0
191,3,4.0
192,1,0.0
193,1,0.0
194,0,0.0
195,11,3.0
196,1,1.0
197,0,0.0
198,0,0.0
199,8,5.0
200,1,0.0
201,5,1.0
202,0,0.0
203,4,0.0
204,11,2.0
205,11,5.0
206,0,0.0
207,0,10.0
208,4,7.0
209,0,1.0
210,7,2.0
211,0,2.0
212,3,0.0
213,2,0.0
214,3,1.0
215,0,0.0
216,3,0.0
217,2,0.0
218,1,0.0
219,3,0.0
220,11,2.0
221,4,1.0
222,1,0.0
223,2,1.0
224,3,0.0
225,2,1.0
226,1,0.0
227,4,0.0
228,2,0.0
229,1,0.0
230,0,0.0
231,0,0.0
232,0,0.0
233,2,3.0
