file_index,original_value,predict_value
0,1,2.0
1,1,2.0
2,1,2.0
3,1,2.0
4,1,2.0
5,2,2.0
6,0,2.0
7,0,2.0
8,1,2.0
9,1,2.0
10,1,2.0
11,1,2.0
12,1,2.0
13,1,2.0
14,1,2.0
15,2,2.0
16,1,2.0
17,3,2.0
18,1,2.0
19,1,2.0
20,8,2.0
21,1,2.0
22,3,2.0
23,1,2.0
24,1,2.0
25,1,2.0
26,1,2.0
27,1,2.0
28,2,2.0
29,1,2.0
30,5,2.0
31,1,2.0
32,1,2.0
33,1,2.0
34,1,2.0
35,3,2.0
36,3,2.0
37,1,2.0
38,1,2.0
39,2,2.0
40,4,2.0
41,1,2.0
42,1,2.0
43,1,2.0
44,2,2.0
45,1,2.0
46,1,2.0
47,1,2.0
48,3,2.0
49,2,2.0
50,1,2.0
51,1,2.0
52,1,2.0
53,0,2.0
54,1,2.0
55,6,2.0
56,5,2.0
57,1,2.0
58,1,2.0
59,0,2.0
60,1,2.0
61,2,2.0
62,2,2.0
63,1,2.0
64,2,2.0
65,1,2.0
66,1,2.0
67,1,2.0
68,1,2.0
69,1,2.0
70,1,2.0
71,1,2.0
72,1,2.0
73,1,2.0
74,1,2.0
75,1,2.0
76,1,2.0
77,1,2.0
78,4,2.0
79,1,2.0
80,1,2.0
81,1,2.0
82,1,2.0
83,1,2.0
84,1,2.0
85,1,2.0
86,0,2.0
87,1,2.0
88,1,2.0
89,1,2.0
90,0,2.0
91,0,2.0
92,1,2.0
93,1,2.0
94,1,2.0
95,1,2.0
96,1,2.0
97,1,2.0
98,6,2.0
99,1,2.0
100,0,2.0
101,0,2.0
102,1,2.0
103,1,2.0
104,2,2.0
105,0,2.0
106,1,2.0
107,1,2.0
108,3,2.0
109,1,2.0
110,2,2.0
111,2,2.0
112,2,2.0
113,1,2.0
114,1,2.0
115,1,2.0
116,1,2.0
117,1,2.0
118,2,2.0
119,1,2.0
120,1,2.0
121,1,2.0
122,1,2.0
123,1,2.0
124,1,2.0
125,1,2.0
126,1,2.0
127,9,2.0
128,1,2.0
129,1,2.0
130,4,2.0
131,1,2.0
132,1,2.0
133,0,2.0
134,2,2.0
135,2,2.0
136,1,2.0
137,2,2.0
138,2,2.0
139,1,2.0
140,1,2.0
141,1,2.0
142,0,2.0
143,1,2.0
144,1,2.0
145,1,2.0
146,1,2.0
147,1,2.0
148,13,2.0
149,1,2.0
150,2,2.0
151,1,2.0
152,1,2.0
153,0,2.0
154,1,2.0
155,5,2.0
156,5,2.0
157,4,2.0
158,0,2.0
159,0,2.0
160,0,2.0
161,0,2.0
162,0,2.0
163,0,2.0
164,0,2.0
165,0,2.0
166,0,2.0
167,0,2.0
168,0,2.0
169,0,2.0
170,1,2.0
171,0,2.0
172,0,2.0
173,0,2.0
174,0,2.0
175,2,2.0
176,1,2.0
177,0,2.0
178,0,2.0
179,1,2.0
180,1,2.0
181,0,2.0
182,0,2.0
183,0,2.0
184,0,2.0
185,0,2.0
186,0,2.0
187,1,2.0
188,0,2.0
189,1,2.0
190,0,2.0
191,1,2.0
192,0,2.0
193,0,2.0
194,0,2.0
195,1,2.0
196,1,2.0
197,0,2.0
198,0,2.0
199,1,2.0
200,0,2.0
201,0,2.0
202,1,2.0
203,1,2.0
204,0,2.0
205,1,2.0
206,0,2.0
207,1,2.0
208,0,2.0
209,1,2.0
210,0,2.0
211,0,2.0
212,0,2.0
213,1,2.0
214,0,2.0
215,1,2.0
216,0,2.0
217,0,2.0
218,0,2.0
219,0,2.0
220,0,2.0
221,1,2.0
222,1,2.0
223,4,2.0
224,0,2.0
225,0,2.0
226,1,2.0
227,0,2.0
228,1,2.0
229,0,2.0
230,1,2.0
231,1,2.0
232,0,2.0
233,1,2.0
234,0,2.0
235,0,2.0
236,0,2.0
237,2,2.0
238,0,2.0
239,0,2.0
240,2,2.0
241,2,2.0
242,1,2.0
243,16,2.0
244,1,2.0
245,0,2.0
246,2,2.0
247,3,2.0
248,1,2.0
249,9,2.0
250,1,2.0
251,0,2.0
252,0,2.0
253,2,2.0
254,2,2.0
255,1,2.0
256,0,2.0
257,2,2.0
258,1,2.0
259,2,2.0
260,1,2.0
261,19,2.0
262,5,2.0
263,0,2.0
264,2,2.0
265,1,2.0
266,2,2.0
267,1,2.0
268,3,2.0
269,0,2.0
270,1,2.0
271,14,2.0
272,4,2.0
273,2,2.0
274,0,2.0
275,0,2.0
276,0,2.0
277,0,2.0
278,1,2.0
279,0,2.0
280,1,2.0
281,2,2.0
282,0,2.0
283,1,2.0
284,14,2.0
285,4,2.0
286,1,2.0
287,3,2.0
288,1,2.0
289,2,2.0
290,0,2.0
291,0,2.0
292,3,2.0
293,0,2.0
294,1,2.0
295,0,2.0
296,0,2.0
297,0,2.0
298,0,2.0
299,1,2.0
300,1,2.0
301,1,2.0
302,0,2.0
303,1,2.0
304,0,2.0
305,0,2.0
306,0,2.0
307,0,2.0
308,0,2.0
309,1,2.0
310,0,2.0
311,1,2.0
312,1,2.0
313,0,2.0
314,0,2.0
315,1,2.0
316,2,2.0
317,0,2.0
318,1,2.0
319,0,2.0
320,1,2.0
321,2,2.0
322,0,2.0
323,0,2.0
324,0,2.0
325,0,2.0
326,0,2.0
327,1,2.0
328,0,2.0
329,0,2.0
330,0,2.0
331,0,2.0
332,0,2.0
333,1,2.0
334,0,2.0
335,0,2.0
336,0,2.0
337,0,2.0
338,0,2.0
339,0,2.0
340,0,2.0
341,0,2.0
342,0,2.0
343,1,2.0
344,0,2.0
345,0,2.0
346,0,2.0
347,0,2.0
348,0,2.0
349,1,2.0
350,0,2.0
351,0,2.0
352,1,2.0
353,0,2.0
354,0,2.0
355,2,2.0
356,0,2.0
357,1,2.0
358,0,2.0
359,0,2.0
360,1,2.0
361,1,2.0
362,1,2.0
363,0,2.0
364,0,2.0
365,0,2.0
366,0,2.0
367,0,2.0
368,1,2.0
369,0,2.0
370,0,2.0
371,0,2.0
372,3,2.0
373,0,2.0
374,1,2.0
375,0,2.0
376,0,2.0
377,0,2.0
378,0,2.0
379,0,2.0
380,0,2.0
381,0,2.0
382,1,2.0
383,0,2.0
384,4,2.0
385,1,2.0
386,1,2.0
387,1,2.0
388,1,2.0
389,0,2.0
390,1,2.0
391,0,2.0
392,0,2.0
393,1,2.0
394,0,2.0
395,0,2.0
396,0,2.0
397,1,2.0
398,2,2.0
399,3,2.0
400,1,2.0
401,0,2.0
402,0,2.0
403,0,2.0
404,0,2.0
405,0,2.0
406,3,2.0
407,1,2.0
408,2,2.0
409,1,2.0
410,2,2.0
411,3,2.0
412,1,2.0
413,1,2.0
414,1,2.0
415,1,2.0
416,1,2.0
417,1,2.0
418,1,2.0
419,2,2.0
420,1,2.0
421,1,2.0
422,1,2.0
423,2,2.0
424,1,2.0
425,2,2.0
426,1,2.0
427,1,2.0
428,1,2.0
429,1,2.0
430,1,2.0
431,1,2.0
432,1,2.0
433,2,2.0
434,1,2.0
435,1,2.0
436,1,2.0
437,1,2.0
