file_index,original_value,predict_value
0,1,1.0
1,2,1.0
2,1,1.0
3,1,1.0
4,1,1.0
5,1,1.0
6,0,1.0
7,2,1.0
8,1,1.0
9,0,1.0
10,0,1.0
11,0,1.0
12,0,1.0
13,0,1.0
14,2,1.0
15,0,1.0
16,0,1.0
17,0,1.0
18,1,1.0
19,0,1.0
20,0,1.0
21,1,1.0
22,0,1.0
23,1,1.0
24,1,1.0
25,1,1.0
26,1,1.0
27,2,1.0
28,2,1.0
29,2,1.0
30,2,1.0
31,2,1.0
32,2,1.0
33,2,1.0
34,2,1.0
35,2,1.0
36,2,1.0
37,2,1.0
38,6,1.0
39,1,1.0
40,2,1.0
41,2,1.0
42,2,1.0
43,1,1.0
44,2,1.0
45,0,1.0
46,2,1.0
47,1,1.0
48,1,1.0
49,1,1.0
50,1,1.0
51,1,1.0
52,2,1.0
53,1,1.0
54,1,1.0
55,1,1.0
56,0,1.0
57,0,1.0
58,0,1.0
59,1,1.0
60,0,1.0
61,0,1.0
62,0,1.0
63,0,1.0
64,0,1.0
65,0,1.0
66,2,1.0
67,0,1.0
68,0,1.0
69,0,1.0
70,1,1.0
71,1,1.0
72,1,1.0
73,1,1.0
74,2,1.0
75,2,1.0
76,1,1.0
77,1,1.0
78,1,1.0
79,2,1.0
80,0,1.0
81,1,1.0
82,0,1.0
83,1,1.0
84,1,1.0
85,1,1.0
86,0,1.0
87,0,1.0
88,0,1.0
89,3,1.0
90,1,1.0
91,0,1.0
92,1,1.0
93,1,1.0
94,1,1.0
95,2,1.0
96,0,1.0
97,1,1.0
98,0,1.0
99,1,1.0
100,0,1.0
101,0,1.0
102,0,1.0
103,0,1.0
104,0,1.0
105,0,1.0
106,0,1.0
107,0,1.0
108,0,1.0
109,0,1.0
110,0,1.0
111,1,1.0
112,0,1.0
113,0,1.0
114,0,1.0
115,0,1.0
116,1,1.0
117,0,1.0
118,1,1.0
119,0,1.0
120,0,1.0
121,1,1.0
122,2,1.0
123,0,1.0
124,0,1.0
125,0,1.0
126,0,1.0
127,0,1.0
128,0,1.0
129,0,1.0
130,2,1.0
131,0,1.0
132,0,1.0
133,0,1.0
134,0,1.0
135,0,1.0
136,0,1.0
137,0,1.0
138,0,1.0
139,0,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,0,1.0
146,0,1.0
147,0,1.0
148,1,1.0
149,0,1.0
150,0,1.0
151,1,1.0
152,1,1.0
153,1,1.0
154,1,1.0
155,0,1.0
156,0,1.0
157,0,1.0
158,0,1.0
159,0,1.0
160,0,1.0
161,0,1.0
162,0,1.0
163,0,1.0
164,0,1.0
165,1,1.0
166,0,1.0
167,0,1.0
168,4,1.0
169,1,1.0
170,1,1.0
171,1,1.0
172,2,1.0
173,2,1.0
174,2,1.0
175,1,1.0
176,0,1.0
177,0,1.0
178,4,1.0
