file_index,original_value,predict_value
0,4,4.0
1,1,1.0
2,2,1.0
3,1,1.0
4,0,2.0
5,0,5.0
6,0,2.0
7,2,2.0
8,1,2.0
9,2,2.0
10,2,2.0
11,0,1.0
12,1,1.0
13,0,1.0
14,0,1.0
15,3,2.0
16,0,1.0
17,1,1.0
18,0,1.0
19,0,1.0
20,3,1.0
21,0,1.0
22,0,1.0
23,7,3.0
24,1,1.0
25,2,1.0
26,25,4.0
27,0,1.0
28,0,1.0
29,0,6.0
30,0,1.0
31,4,3.0
32,0,5.0
33,3,4.0
34,36,12.0
35,0,0.0
36,4,1.0
37,4,3.0
38,6,3.0
39,1,1.0
40,1,0.0
41,1,1.0
42,4,1.0
43,0,1.0
44,0,9.0
45,1,2.0
46,2,3.0
47,1,1.0
48,2,3.0
49,0,1.0
50,1,1.0
51,7,2.0
52,6,3.0
53,2,1.0
54,0,1.0
55,0,1.0
56,0,1.0
57,0,1.0
58,0,1.0
59,0,1.0
60,2,2.0
61,13,14.0
62,2,4.0
63,0,1.0
64,0,1.0
65,0,1.0
66,0,1.0
67,1,1.0
68,0,-1.0
69,1,2.0
70,3,-3.0
71,3,-0.0
72,0,0.0
73,4,5.0
74,1,0.0
75,6,4.0
76,0,0.0
77,2,29.0
78,0,1.0
79,2,1.0
80,5,4.0
81,2,4.0
82,0,3.0
83,2,1.0
84,0,1.0
85,0,1.0
86,0,1.0
87,2,5.0
88,0,4.0
89,3,4.0
90,0,1.0
91,4,2.0
92,5,4.0
93,0,1.0
94,1,4.0
95,0,1.0
96,0,1.0
97,1,1.0
98,2,1.0
99,3,1.0
100,0,1.0
101,1,1.0
102,0,1.0
103,3,2.0
104,0,0.0
105,1,2.0
106,1,0.0
107,1,3.0
108,0,-0.0
109,12,19.0
110,0,1.0
