file_index,original_value,predict_value
0,0,0.0
1,1,1.0
2,0,1.0
3,1,1.0
4,0,0.0
5,0,0.0
6,0,1.0
7,0,1.0
8,0,3.0
9,1,1.0
10,0,1.0
11,0,1.0
12,1,1.0
13,0,1.0
14,0,1.0
15,1,1.0
16,1,1.0
17,0,4.0
18,12,2.0
19,4,10.0
20,0,0.0
21,0,0.0
22,2,1.0
23,0,0.0
24,0,0.0
25,1,3.0
26,0,1.0
27,0,0.0
28,1,3.0
29,0,3.0
30,3,1.0
31,0,0.0
32,1,1.0
33,0,0.0
34,1,1.0
35,0,0.0
36,0,0.0
37,1,0.0
38,0,0.0
39,0,1.0
40,0,1.0
41,0,1.0
42,2,-1.0
43,0,1.0
44,0,-0.0
45,0,0.0
46,0,1.0
47,0,1.0
48,0,2.0
49,0,1.0
50,0,2.0
51,7,-0.0
52,6,5.0
53,2,2.0
54,0,0.0
55,2,0.0
56,2,0.0
57,1,1.0
58,0,12.0
59,0,1.0
60,0,1.0
61,1,1.0
62,0,0.0
63,1,1.0
64,0,2.0
65,2,2.0
66,0,1.0
67,1,2.0
68,2,9.0
69,1,2.0
70,1,2.0
71,1,2.0
72,4,1.0
73,0,1.0
74,4,2.0
75,1,2.0
76,0,0.0
77,0,1.0
78,1,2.0
79,0,1.0
80,0,1.0
81,0,1.0
82,0,1.0
83,0,2.0
84,0,0.0
85,0,1.0
86,2,1.0
87,1,2.0
88,4,3.0
89,0,1.0
90,0,0.0
91,1,3.0
92,2,2.0
93,3,1.0
94,2,1.0
95,0,1.0
96,1,3.0
97,0,0.0
98,0,0.0
99,0,1.0
100,0,1.0
101,1,0.0
102,0,1.0
103,1,2.0
104,3,4.0
105,1,1.0
106,0,1.0
107,3,0.0
108,0,-0.0
109,1,3.0
110,6,1.0
111,0,0.0
112,1,1.0
113,11,8.0
114,0,2.0
115,0,1.0
116,0,1.0
117,0,0.0
118,0,0.0
119,0,1.0
120,0,0.0
121,0,0.0
122,0,3.0
123,1,1.0
124,0,1.0
125,2,2.0
126,2,1.0
127,1,0.0
128,0,0.0
129,0,2.0
130,2,1.0
131,1,1.0
132,7,7.0
133,0,0.0
134,0,1.0
135,0,1.0
136,1,6.0
137,0,1.0
138,0,1.0
139,4,1.0
140,2,1.0
141,0,2.0
142,1,1.0
143,0,1.0
144,2,2.0
145,0,1.0
146,0,1.0
147,3,1.0
148,6,8.0
149,9,7.0
150,1,0.0
151,0,2.0
152,2,6.0
153,2,0.0
154,0,0.0
155,2,1.0
156,1,1.0
157,1,2.0
158,0,1.0
159,2,2.0
160,1,1.0
161,4,7.0
162,0,2.0
163,0,1.0
164,8,9.0
165,2,2.0
166,4,1.0
167,0,1.0
168,0,1.0
169,0,1.0
170,1,1.0
171,1,1.0
172,1,1.0
173,1,0.0
174,0,0.0
175,0,0.0
176,2,1.0
177,11,6.0
178,22,4.0
179,9,1.0
180,2,1.0
181,4,2.0
182,2,1.0
183,0,1.0
184,14,5.0
185,6,0.0
