file_index,original_value,predict_value
0,2,2.0
1,3,4.0
2,2,2.0
3,2,2.0
4,2,2.0
5,2,3.0
6,2,2.0
7,3,1.0
8,2,2.0
9,2,2.0
10,1,1.0
11,2,2.0
12,2,1.0
13,2,1.0
14,2,1.0
15,2,1.0
16,2,1.0
17,2,1.0
18,5,1.0
19,0,0.0
20,1,1.0
21,1,0.0
22,0,4.0
23,1,2.0
24,4,2.0
25,0,0.0
26,0,0.0
27,1,-0.0
28,0,1.0
29,0,1.0
30,1,1.0
31,0,1.0
32,0,1.0
33,0,0.0
34,0,0.0
35,0,0.0
36,0,0.0
37,0,1.0
38,2,2.0
39,2,2.0
40,2,2.0
41,4,2.0
42,2,1.0
43,2,2.0
44,1,1.0
45,0,0.0
46,2,2.0
47,2,2.0
48,3,2.0
49,2,1.0
50,2,1.0
51,2,2.0
52,0,0.0
53,2,3.0
54,1,1.0
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,1.0
60,0,0.0
61,0,0.0
62,0,1.0
63,1,0.0
64,0,1.0
65,2,1.0
66,1,1.0
67,1,-0.0
68,0,0.0
69,0,0.0
70,0,1.0
71,0,1.0
72,0,0.0
73,0,5.0
74,0,0.0
75,0,1.0
76,2,2.0
77,2,1.0
78,2,2.0
79,2,1.0
80,2,1.0
81,2,2.0
82,2,2.0
83,2,1.0
84,2,1.0
85,2,1.0
86,1,1.0
87,2,2.0
88,2,2.0
89,2,2.0
90,2,2.0
91,2,2.0
92,2,2.0
93,1,1.0
94,2,2.0
95,7,2.0
96,2,1.0
97,1,1.0
98,2,1.0
99,2,1.0
100,1,2.0
101,1,1.0
102,0,2.0
103,0,3.0
104,0,1.0
105,0,0.0
106,0,1.0
107,1,0.0
108,0,2.0
109,0,1.0
110,0,0.0
111,1,1.0
112,0,2.0
113,0,2.0
114,1,1.0
115,2,1.0
116,2,2.0
117,2,2.0
118,4,1.0
119,2,2.0
120,2,2.0
121,2,2.0
122,2,2.0
123,2,2.0
124,2,2.0
125,2,2.0
126,5,2.0
127,2,1.0
128,2,1.0
129,2,2.0
130,2,3.0
131,1,2.0
132,3,2.0
133,1,1.0
134,1,1.0
135,1,1.0
136,1,1.0
137,1,1.0
138,0,0.0
139,2,1.0
140,0,1.0
141,1,1.0
142,2,2.0
143,0,0.0
144,1,2.0
145,1,1.0
146,2,1.0
147,0,1.0
148,1,0.0
149,0,0.0
150,0,1.0
151,0,2.0
152,2,2.0
153,5,3.0
154,2,2.0
155,2,2.0
156,2,2.0
157,2,3.0
158,4,3.0
159,1,2.0
160,2,3.0
161,3,0.0
162,2,2.0
163,1,1.0
164,0,1.0
165,2,2.0
166,1,2.0
167,2,3.0
168,7,0.0
169,2,1.0
170,2,1.0
171,2,1.0
172,0,-0.0
173,1,1.0
174,1,1.0
175,0,2.0
176,0,0.0
177,1,2.0
178,1,1.0
179,1,0.0
180,1,0.0
181,0,0.0
182,0,0.0
183,0,1.0
184,0,0.0
185,0,0.0
186,0,1.0
187,0,1.0
188,0,1.0
189,1,1.0
190,1,1.0
191,2,2.0
192,2,1.0
193,1,0.0
194,2,2.0
195,2,2.0
196,2,1.0
197,2,2.0
198,2,2.0
199,2,1.0
200,2,3.0
201,2,2.0
202,2,2.0
203,2,2.0
204,1,1.0
205,1,1.0
206,1,1.0
207,2,1.0
208,0,1.0
209,7,4.0
210,1,1.0
211,4,4.0
212,0,1.0
213,1,1.0
214,0,1.0
215,0,3.0
216,0,2.0
217,2,1.0
218,1,0.0
219,3,2.0
220,0,0.0
221,0,1.0
222,0,1.0
223,0,1.0
224,0,0.0
225,1,1.0
226,2,2.0
227,0,3.0
228,2,2.0
229,2,2.0
230,2,2.0
231,2,2.0
232,2,3.0
233,2,2.0
234,2,2.0
235,1,2.0
236,2,2.0
237,2,2.0
238,2,2.0
239,2,2.0
240,3,2.0
241,0,-0.0
242,0,1.0
243,0,-0.0
244,0,-0.0
245,1,5.0
246,0,2.0
247,0,1.0
248,0,1.0
249,0,0.0
250,1,0.0
251,0,0.0
252,0,1.0
253,0,0.0
254,0,0.0
255,0,1.0
256,0,0.0
257,0,0.0
258,0,1.0
259,0,2.0
260,0,0.0
261,0,1.0
262,0,0.0
263,0,1.0
264,0,1.0
265,1,2.0
266,2,2.0
267,1,2.0
268,2,2.0
269,2,2.0
270,3,1.0
271,2,2.0
272,2,2.0
273,3,1.0
274,2,1.0
275,2,2.0
276,2,2.0
277,2,2.0
278,2,1.0
279,2,2.0
280,2,2.0
281,2,2.0
282,2,2.0
283,1,1.0
284,1,2.0
285,1,1.0
286,0,0.0
287,2,3.0
288,5,4.0
289,1,1.0
290,4,3.0
291,6,1.0
292,2,1.0
293,0,1.0
294,0,1.0
295,0,1.0
296,0,0.0
297,0,1.0
298,0,1.0
299,1,1.0
300,0,0.0
301,0,1.0
302,0,-0.0
303,0,2.0
304,2,2.0
305,2,2.0
306,2,2.0
307,2,2.0
308,2,2.0
309,1,5.0
310,2,2.0
311,2,2.0
312,1,1.0
313,2,2.0
314,3,1.0
315,2,2.0
316,2,2.0
317,2,2.0
318,2,2.0
319,1,1.0
320,4,1.0
321,1,1.0
322,1,1.0
323,1,1.0
324,1,1.0
325,1,1.0
326,1,1.0
327,11,4.0
328,0,0.0
329,1,1.0
330,1,1.0
331,0,1.0
332,3,1.0
333,0,1.0
334,0,0.0
335,0,1.0
336,0,0.0
337,0,1.0
338,0,1.0
339,1,1.0
340,0,2.0
341,0,2.0
342,2,2.0
343,2,2.0
344,2,2.0
345,2,2.0
346,2,2.0
347,2,1.0
348,2,2.0
349,2,2.0
350,2,2.0
351,2,3.0
352,0,1.0
353,5,1.0
354,1,1.0
355,2,2.0
356,0,2.0
357,0,0.0
358,1,1.0
359,11,5.0
360,0,0.0
361,1,0.0
362,1,0.0
363,1,1.0
364,2,1.0
365,1,1.0
366,0,0.0
367,0,0.0
368,0,1.0
369,0,1.0
370,0,1.0
371,0,0.0
372,0,1.0
373,0,0.0
374,0,0.0
375,0,1.0
376,0,2.0
377,1,1.0
378,0,0.0
379,0,1.0
