file_index,original_value,predict_value
0,1,1.0
1,0,1.0
2,0,1.0
3,1,1.0
4,8,3.0
5,5,3.0
6,0,3.0
7,0,2.0
8,2,3.0
9,1,2.0
10,1,1.0
11,1,1.0
12,2,2.0
13,3,3.0
14,2,3.0
15,1,1.0
16,1,1.0
17,2,3.0
18,0,1.0
19,2,3.0
20,1,2.0
21,1,1.0
22,0,1.0
23,1,1.0
24,2,3.0
25,1,2.0
26,2,1.0
27,4,3.0
28,9,2.0
29,0,1.0
30,1,1.0
31,7,2.0
32,3,3.0
33,0,1.0
34,1,1.0
35,2,4.0
36,4,3.0
37,0,1.0
38,2,2.0
39,0,1.0
40,5,5.0
41,2,3.0
42,0,1.0
43,2,2.0
44,4,2.0
45,1,2.0
46,0,1.0
47,1,1.0
48,1,1.0
49,1,1.0
50,0,1.0
51,3,1.0
52,0,1.0
53,0,1.0
54,2,2.0
55,2,4.0
56,2,1.0
57,0,1.0
58,1,1.0
59,2,2.0
60,3,1.0
61,0,2.0
62,1,1.0
63,2,1.0
64,0,1.0
65,1,1.0
66,0,1.0
67,0,1.0
68,2,2.0
69,2,1.0
70,1,4.0
71,1,1.0
72,2,2.0
73,0,1.0
74,2,3.0
75,1,2.0
76,2,1.0
77,2,2.0
78,1,4.0
79,3,3.0
80,0,1.0
81,0,1.0
82,2,1.0
83,2,2.0
84,2,3.0
85,0,1.0
86,1,1.0
87,0,3.0
88,0,3.0
89,2,1.0
90,1,4.0
91,0,3.0
92,1,1.0
93,1,2.0
94,0,2.0
95,2,1.0
96,0,1.0
97,1,1.0
98,1,4.0
99,0,1.0
100,0,1.0
101,0,1.0
102,0,1.0
103,0,1.0
104,0,1.0
105,2,2.0
106,5,3.0
107,0,1.0
108,1,2.0
109,0,1.0
110,1,2.0
111,2,5.0
112,0,3.0
113,1,1.0
114,1,2.0
115,1,1.0
116,0,1.0
117,0,1.0
118,3,4.0
119,0,1.0
120,1,1.0
121,0,1.0
122,3,1.0
123,1,2.0
124,1,1.0
125,0,1.0
126,1,1.0
127,5,3.0
128,1,1.0
129,0,5.0
130,4,4.0
131,5,2.0
132,2,3.0
133,1,0.0
134,1,0.0
135,1,1.0
136,3,7.0
137,1,0.0
138,2,1.0
139,3,1.0
140,5,3.0
141,0,1.0
142,0,1.0
143,0,1.0
144,9,3.0
145,0,0.0
146,1,1.0
147,0,5.0
148,0,1.0
149,0,2.0
150,0,1.0
151,0,0.0
152,1,1.0
153,1,3.0
154,1,1.0
155,1,0.0
156,1,1.0
157,0,0.0
158,0,0.0
159,1,4.0
160,0,1.0
161,6,3.0
162,2,2.0
163,0,0.0
164,0,1.0
165,0,1.0
166,0,0.0
167,0,0.0
168,1,3.0
169,2,3.0
170,1,3.0
171,0,0.0
172,1,1.0
173,3,1.0
174,1,1.0
175,7,1.0
176,5,2.0
177,0,1.0
178,5,4.0
179,10,5.0
180,1,0.0
181,5,5.0
182,2,1.0
183,1,1.0
184,1,1.0
185,3,3.0
186,8,3.0
187,2,3.0
188,1,2.0
189,0,0.0
190,3,2.0
191,1,1.0
192,1,1.0
193,3,3.0
194,1,2.0
195,1,1.0
196,7,3.0
197,3,3.0
198,3,2.0
199,1,2.0
200,0,1.0
201,5,4.0
202,8,4.0
203,2,1.0
204,0,1.0
205,0,1.0
206,1,1.0
207,2,2.0
208,0,1.0
209,2,1.0
210,0,1.0
211,0,3.0
212,0,1.0
213,0,1.0
