file_index,original_value,predict_value
0,1,0.0
1,0,0.0
2,0,0.0
3,2,1.0
4,6,1.0
5,2,1.0
6,2,1.0
7,0,1.0
8,1,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,1,1.0
13,1,1.0
14,1,1.0
15,2,1.0
16,0,1.0
17,0,0.0
18,0,0.0
19,0,1.0
20,0,0.0
21,1,1.0
22,2,2.0
23,0,0.0
24,0,1.0
25,1,0.0
26,1,0.0
27,1,0.0
28,0,1.0
29,0,0.0
30,3,2.0
31,1,1.0
32,0,1.0
33,1,1.0
34,0,0.0
35,1,1.0
36,6,1.0
37,0,0.0
38,1,1.0
39,2,2.0
40,0,1.0
41,1,0.0
42,1,0.0
43,0,0.0
44,2,2.0
45,1,1.0
46,2,1.0
47,0,2.0
48,0,1.0
49,1,2.0
50,0,1.0
51,2,1.0
52,0,0.0
53,0,0.0
54,0,0.0
55,0,0.0
56,0,1.0
57,1,1.0
58,0,0.0
59,1,1.0
60,0,0.0
61,0,0.0
62,0,1.0
63,0,0.0
64,1,1.0
65,0,0.0
66,0,0.0
67,0,0.0
68,0,1.0
69,1,1.0
70,0,1.0
71,0,1.0
72,0,0.0
73,1,0.0
74,5,2.0
75,2,1.0
76,0,0.0
77,5,1.0
78,0,1.0
79,0,0.0
80,0,0.0
81,2,0.0
82,0,0.0
83,0,1.0
84,3,1.0
85,2,0.0
86,2,1.0
87,1,1.0
88,1,1.0
89,1,2.0
90,2,1.0
91,1,1.0
92,1,1.0
93,0,1.0
94,2,2.0
95,1,2.0
96,0,1.0
97,0,0.0
98,0,1.0
99,0,0.0
100,0,0.0
101,1,0.0
102,0,0.0
103,0,0.0
104,1,0.0
105,2,2.0
106,2,1.0
107,2,1.0
108,2,0.0
109,5,1.0
110,2,0.0
111,1,0.0
112,9,2.0
113,0,1.0
114,2,0.0
115,1,0.0
116,0,0.0
117,0,0.0
118,1,2.0
119,0,0.0
120,0,1.0
121,0,2.0
122,0,1.0
123,0,0.0
124,0,0.0
125,0,1.0
126,1,1.0
127,1,1.0
128,1,1.0
129,0,0.0
130,1,1.0
131,0,1.0
132,0,1.0
133,1,0.0
134,0,1.0
135,1,1.0
136,0,0.0
137,0,1.0
138,1,1.0
139,0,1.0
140,1,2.0
141,0,0.0
142,0,0.0
143,1,1.0
144,1,1.0
145,0,0.0
146,2,1.0
147,0,1.0
148,0,1.0
149,0,0.0
150,2,2.0
151,0,1.0
152,1,1.0
153,0,1.0
154,0,0.0
155,1,1.0
156,1,1.0
157,0,0.0
158,0,0.0
159,0,0.0
160,4,2.0
161,3,1.0
162,1,1.0
163,0,0.0
164,3,1.0
165,0,1.0
166,1,0.0
167,2,1.0
168,1,0.0
169,0,1.0
170,0,1.0
171,0,0.0
172,0,1.0
173,0,0.0
174,0,1.0
175,2,2.0
176,1,0.0
177,1,1.0
178,1,2.0
179,0,0.0
180,1,0.0
181,2,1.0
182,1,1.0
183,1,1.0
184,1,0.0
185,1,0.0
186,1,1.0
187,1,1.0
188,0,0.0
189,0,0.0
190,0,0.0
191,1,1.0
192,0,0.0
193,0,0.0
194,1,1.0
195,1,1.0
196,0,0.0
197,0,0.0
198,0,0.0
199,2,1.0
200,5,1.0
201,2,1.0
202,2,1.0
203,0,1.0
204,0,1.0
205,0,0.0
206,0,1.0
207,0,0.0
208,0,0.0
209,1,1.0
210,1,0.0
211,1,0.0
212,1,0.0
213,0,0.0
214,0,0.0
215,0,0.0
216,0,1.0
217,1,1.0
218,1,1.0
219,1,1.0
220,0,0.0
221,0,0.0
222,0,1.0
223,1,0.0
224,1,0.0
225,1,0.0
226,1,0.0
227,1,1.0
228,1,1.0
229,1,0.0
230,2,1.0
231,0,1.0
232,0,0.0
233,1,1.0
234,0,0.0
235,0,1.0
236,1,0.0
237,0,0.0
238,0,0.0
239,0,1.0
240,0,1.0
241,0,0.0
242,1,1.0
243,0,1.0
244,0,1.0
245,0,1.0
246,0,0.0
247,1,1.0
248,0,1.0
249,1,1.0
250,0,1.0
251,2,3.0
252,0,1.0
253,0,0.0
254,0,1.0
255,1,0.0
256,3,2.0
257,0,1.0
258,1,1.0
259,0,1.0
260,3,0.0
261,0,0.0
262,1,1.0
263,0,0.0
264,1,0.0
265,0,0.0
266,1,1.0
267,2,1.0
268,2,1.0
269,1,0.0
270,1,1.0
271,0,0.0
272,1,0.0
273,0,1.0
274,0,0.0
275,0,0.0
276,0,0.0
277,1,1.0
278,1,1.0
279,0,1.0
280,3,2.0
281,0,1.0
282,0,0.0
283,0,1.0
284,0,1.0
285,0,0.0
286,0,0.0
287,1,1.0
288,1,2.0
289,1,2.0
290,1,1.0
291,1,0.0
292,1,0.0
293,1,0.0
294,1,0.0
295,0,0.0
296,2,0.0
297,3,2.0
298,1,1.0
299,1,1.0
300,1,1.0
301,1,1.0
302,1,1.0
303,1,0.0
304,0,0.0
305,1,0.0
306,0,0.0
307,0,0.0
308,0,0.0
309,0,0.0
310,0,1.0
311,0,0.0
312,0,1.0
313,0,0.0
314,2,2.0
315,0,1.0
316,0,0.0
317,0,0.0
318,1,0.0
319,0,1.0
320,0,0.0
321,0,1.0
322,1,1.0
323,0,0.0
324,0,0.0
325,0,1.0
326,0,0.0
327,0,1.0
328,1,1.0
329,1,1.0
330,0,0.0
331,1,1.0
332,1,1.0
333,0,0.0
334,0,0.0
335,0,1.0
336,0,1.0
337,0,1.0
338,0,0.0
339,1,1.0
340,0,1.0
341,1,0.0
342,0,1.0
343,0,1.0
344,0,1.0
345,0,0.0
346,1,1.0
347,0,1.0
348,2,0.0
349,1,0.0
350,0,1.0
351,0,0.0
352,0,0.0
353,0,0.0
354,0,0.0
355,2,1.0
356,1,0.0
357,1,1.0
358,1,1.0
359,1,0.0
360,0,0.0
361,2,1.0
362,0,0.0
363,0,0.0
364,1,0.0
365,0,0.0
366,0,1.0
367,0,0.0
368,1,1.0
369,1,1.0
370,5,2.0
371,1,0.0
372,3,0.0
373,4,1.0
374,2,0.0
375,1,0.0
376,2,1.0
377,1,1.0
378,2,1.0
379,0,0.0
380,0,0.0
381,1,1.0
382,0,0.0
383,1,0.0
384,0,0.0
385,0,0.0
386,1,0.0
387,2,1.0
388,1,0.0
389,1,1.0
390,1,0.0
391,0,0.0
392,0,0.0
393,0,0.0
394,1,0.0
395,0,0.0
396,3,2.0
397,0,1.0
398,1,0.0
399,0,0.0
400,0,1.0
401,0,0.0
402,1,1.0
403,0,0.0
404,0,0.0
405,0,1.0
406,0,0.0
407,1,2.0
408,1,1.0
409,0,0.0
410,0,0.0
411,0,0.0
412,0,0.0
413,0,1.0
414,1,0.0
415,0,0.0
416,0,1.0
417,0,0.0
418,1,1.0
419,1,1.0
420,2,1.0
421,0,0.0
422,2,0.0
423,0,1.0
424,0,0.0
425,0,1.0
426,0,1.0
427,0,0.0
428,0,0.0
429,0,0.0
430,0,1.0
431,1,0.0
432,2,2.0
433,0,0.0
434,0,2.0
435,4,2.0
436,3,2.0
437,0,0.0
438,1,0.0
439,1,2.0
440,1,1.0
441,0,1.0
442,1,1.0
443,2,1.0
444,2,1.0
445,0,0.0
446,1,0.0
447,0,0.0
448,0,1.0
449,1,1.0
450,2,2.0
451,1,2.0
452,0,0.0
453,0,0.0
454,0,0.0
455,0,0.0
456,0,1.0
457,0,0.0
458,0,0.0
459,0,0.0
460,0,0.0
461,0,0.0
462,4,2.0
463,1,1.0
464,1,1.0
465,3,1.0
466,0,0.0
467,1,1.0
468,2,1.0
469,0,0.0
470,1,1.0
471,1,1.0
472,0,1.0
473,0,1.0
474,1,2.0
475,4,0.0
476,1,1.0
477,1,0.0
478,0,1.0
479,1,0.0
480,0,1.0
481,0,1.0
482,1,1.0
483,5,2.0
484,0,1.0
485,0,0.0
486,0,1.0
487,0,0.0
488,0,0.0
489,1,1.0
490,0,0.0
491,0,2.0
492,0,1.0
493,0,0.0
494,1,2.0
495,1,0.0
496,2,2.0
497,0,0.0
498,0,0.0
499,1,1.0
500,0,0.0
501,0,0.0
502,0,0.0
503,1,1.0
504,0,1.0
505,0,0.0
506,1,1.0
507,0,1.0
508,0,0.0
509,6,2.0
510,0,1.0
511,3,1.0
512,0,0.0
513,0,2.0
514,0,1.0
515,0,0.0
516,0,1.0
517,1,2.0
518,0,1.0
519,0,1.0
520,2,0.0
521,0,0.0
522,0,0.0
523,2,0.0
524,2,1.0
525,0,1.0
526,1,2.0
527,0,1.0
528,1,1.0
529,2,1.0
530,2,1.0
531,2,1.0
532,0,1.0
533,2,1.0
534,0,0.0
535,1,1.0
536,0,0.0
537,1,1.0
