file_index,original_value,predict_value
0,2,1.0
1,2,1.0
2,2,1.0
3,11,2.0
4,0,1.0
5,0,1.0
6,0,1.0
7,0,1.0
8,0,1.0
9,1,1.0
10,1,1.0
11,1,1.0
12,0,1.0
13,0,1.0
14,0,1.0
15,0,1.0
16,2,2.0
17,2,1.0
18,2,1.0
19,2,1.0
20,2,1.0
21,2,1.0
22,0,1.0
23,2,1.0
24,0,1.0
25,0,1.0
26,0,1.0
27,0,1.0
28,0,1.0
29,1,1.0
30,0,1.0
31,0,1.0
32,1,1.0
33,0,1.0
34,2,1.0
35,2,1.0
36,0,1.0
37,1,1.0
38,5,3.0
39,0,1.0
40,0,1.0
41,0,1.0
42,2,4.0
43,1,1.0
44,0,1.0
45,0,1.0
46,0,2.0
47,1,1.0
48,2,3.0
49,1,2.0
50,2,1.0
51,2,1.0
52,2,1.0
53,2,1.0
54,0,1.0
55,0,0.0
56,0,1.0
57,0,1.0
58,0,1.0
59,0,1.0
60,0,1.0
61,0,1.0
62,2,6.0
63,0,2.0
64,0,3.0
65,0,0.0
66,3,1.0
67,2,1.0
68,2,1.0
69,9,1.0
70,0,1.0
71,1,1.0
72,1,1.0
73,0,1.0
74,0,1.0
75,0,1.0
76,1,1.0
77,0,1.0
78,0,1.0
79,1,1.0
80,0,1.0
81,1,1.0
82,2,1.0
83,1,1.0
84,2,1.0
85,2,1.0
86,4,1.0
87,0,1.0
88,0,1.0
89,1,1.0
90,0,1.0
91,0,1.0
92,0,1.0
93,8,1.0
94,2,1.0
95,0,1.0
96,0,1.0
97,0,1.0
98,2,1.0
99,2,1.0
100,2,1.0
101,2,1.0
102,0,1.0
103,1,1.0
104,5,1.0
105,0,1.0
106,0,1.0
107,3,1.0
108,0,1.0
109,2,1.0
110,1,1.0
111,0,1.0
112,0,1.0
113,5,1.0
114,2,1.0
115,2,1.0
116,2,1.0
117,0,1.0
118,2,5.0
119,0,1.0
120,0,4.0
121,0,1.0
122,1,3.0
123,2,0.0
124,0,0.0
125,1,1.0
126,0,3.0
127,0,0.0
128,0,1.0
129,2,4.0
130,2,1.0
131,2,1.0
132,2,1.0
133,2,1.0
134,0,1.0
135,2,1.0
136,0,1.0
137,1,1.0
138,0,1.0
139,1,1.0
140,0,1.0
141,0,1.0
142,0,1.0
143,0,1.0
144,0,1.0
145,0,1.0
146,2,1.0
147,2,1.0
148,2,1.0
149,2,1.0
150,0,1.0
151,0,1.0
152,0,2.0
153,0,2.0
154,0,1.0
155,0,1.0
156,0,1.0
157,2,1.0
158,0,1.0
159,0,1.0
160,0,1.0
161,0,1.0
