file_index,original_value,predict_value
0,0,1.0
1,1,0.0
2,0,0.0
3,2,8.0
4,1,0.0
5,0,0.0
6,0,1.0
7,3,2.0
8,1,1.0
9,3,6.0
10,0,1.0
11,5,0.0
12,0,1.0
13,0,1.0
14,0,2.0
15,0,3.0
16,1,1.0
17,0,0.0
18,1,-0.0
19,0,1.0
20,0,1.0
21,1,1.0
22,0,0.0
23,0,0.0
24,4,0.0
25,2,0.0
26,4,0.0
27,3,1.0
28,0,0.0
29,1,1.0
30,2,0.0
31,1,0.0
32,1,0.0
33,0,5.0
34,1,2.0
35,1,1.0
36,2,0.0
37,2,1.0
38,0,0.0
39,0,1.0
40,0,3.0
41,0,0.0
42,0,1.0
43,0,0.0
44,0,1.0
45,0,1.0
46,0,2.0
47,0,1.0
48,0,-1.0
49,0,-0.0
50,0,1.0
51,0,2.0
52,0,0.0
53,0,0.0
54,0,1.0
55,0,0.0
56,0,3.0
57,0,-0.0
58,0,1.0
59,0,1.0
60,0,0.0
61,3,1.0
62,4,2.0
63,7,6.0
64,0,0.0
65,1,-0.0
66,2,0.0
67,2,0.0
68,0,1.0
69,0,0.0
70,0,0.0
71,0,0.0
72,2,0.0
73,0,1.0
74,2,1.0
75,4,4.0
76,3,1.0
77,1,1.0
78,1,3.0
79,0,1.0
80,0,0.0
81,0,1.0
82,0,1.0
83,0,0.0
84,1,0.0
85,0,0.0
86,0,0.0
87,1,0.0
88,1,1.0
89,6,2.0
90,3,1.0
91,0,0.0
92,1,0.0
93,0,0.0
94,2,1.0
95,1,-0.0
96,1,0.0
97,0,-0.0
98,0,0.0
99,0,13.0
100,0,0.0
101,0,2.0
102,0,0.0
103,0,0.0
104,0,2.0
105,0,0.0
106,0,4.0
107,0,0.0
108,0,0.0
109,0,1.0
110,0,0.0
111,0,1.0
112,0,1.0
113,0,1.0
114,0,0.0
115,0,-0.0
116,0,1.0
117,0,2.0
118,0,0.0
119,0,1.0
120,0,0.0
121,0,0.0
122,1,0.0
123,0,0.0
124,0,1.0
125,0,-0.0
126,0,-0.0
127,1,0.0
128,1,0.0
129,0,0.0
130,1,0.0
131,1,1.0
132,0,0.0
133,0,0.0
134,5,1.0
135,0,2.0
136,1,1.0
137,0,2.0
138,2,-0.0
139,9,1.0
140,1,1.0
141,1,0.0
142,0,0.0
143,1,1.0
