file_index,original_value,predict_value
0,0,1.0
1,6,1.0
2,0,-0.0
3,0,1.0
4,0,0.0
5,0,1.0
6,0,1.0
7,0,-0.0
8,0,1.0
9,0,1.0
10,3,2.0
11,1,2.0
12,0,1.0
13,1,2.0
14,0,1.0
15,1,0.0
16,0,0.0
17,0,1.0
18,0,1.0
19,0,0.0
20,1,-0.0
21,0,0.0
22,4,1.0
23,2,2.0
24,5,1.0
25,2,4.0
26,0,0.0
27,0,1.0
28,0,0.0
29,0,0.0
30,1,1.0
31,0,0.0
32,0,0.0
33,0,0.0
34,0,-1.0
35,2,2.0
36,0,0.0
37,0,1.0
38,0,1.0
39,0,3.0
40,1,0.0
41,0,0.0
42,0,0.0
43,0,0.0
44,2,1.0
45,3,1.0
46,3,1.0
47,0,1.0
48,0,1.0
49,2,-0.0
50,4,2.0
51,0,1.0
52,1,1.0
53,0,-0.0
54,0,1.0
55,1,1.0
56,1,4.0
57,0,-0.0
58,1,1.0
59,0,-0.0
60,0,1.0
61,0,1.0
62,0,1.0
63,0,1.0
64,0,1.0
65,1,1.0
66,1,1.0
67,0,1.0
68,0,0.0
69,0,1.0
70,0,0.0
71,0,2.0
72,0,-0.0
73,0,1.0
74,9,-0.0
75,0,0.0
76,2,1.0
77,1,3.0
78,3,1.0
79,0,0.0
80,0,2.0
81,0,0.0
82,0,0.0
83,0,-0.0
84,1,1.0
85,5,3.0
86,4,1.0
87,3,3.0
88,0,1.0
89,0,1.0
90,0,-0.0
91,0,1.0
92,0,0.0
93,0,1.0
94,3,1.0
95,0,0.0
96,1,0.0
97,0,1.0
98,2,3.0
99,1,1.0
100,0,0.0
101,0,1.0
102,1,1.0
103,0,3.0
