file_index,original_value,predict_value
0,0,1.0
1,0,1.0
2,0,1.0
3,4,1.0
4,0,1.0
5,0,1.0
6,0,1.0
7,1,1.0
8,0,0.0
9,1,1.0
10,1,1.0
11,1,2.0
12,0,3.0
13,0,2.0
14,0,1.0
15,0,2.0
16,2,1.0
17,0,1.0
18,2,1.0
19,0,0.0
20,0,1.0
21,0,2.0
22,2,1.0
23,2,1.0
24,2,0.0
25,3,0.0
26,1,2.0
27,1,2.0
28,2,1.0
29,0,0.0
30,1,2.0
31,2,1.0
32,0,1.0
33,1,1.0
34,1,1.0
35,1,1.0
36,2,1.0
37,0,1.0
38,0,1.0
39,0,1.0
40,0,0.0
41,1,2.0
42,1,1.0
43,1,1.0
44,0,1.0
45,4,11.0
46,7,1.0
47,1,1.0
48,0,1.0
49,4,29.0
50,0,1.0
51,2,1.0
52,3,1.0
53,0,0.0
54,1,1.0
55,2,0.0
56,2,2.0
57,0,1.0
58,3,2.0
59,1,2.0
60,0,2.0
61,1,1.0
62,4,2.0
63,1,2.0
64,0,1.0
65,1,2.0
66,1,2.0
67,11,7.0
68,5,2.0
69,0,1.0
70,3,1.0
71,0,2.0
72,0,1.0
73,1,0.0
74,1,0.0
75,6,1.0
76,0,2.0
77,0,0.0
78,0,1.0
79,2,1.0
80,0,2.0
81,0,1.0
82,5,6.0
83,1,0.0
84,0,1.0
85,1,0.0
86,1,2.0
87,0,0.0
88,2,1.0
89,2,2.0
90,3,2.0
91,0,2.0
92,4,2.0
93,2,1.0
94,11,6.0
95,0,1.0
96,3,1.0
97,1,0.0
98,4,1.0
99,0,0.0
100,3,1.0
101,1,0.0
102,1,1.0
103,1,1.0
104,0,0.0
105,2,2.0
106,2,0.0
107,0,2.0
108,0,3.0
109,0,1.0
110,1,1.0
111,1,1.0
112,0,1.0
113,1,1.0
114,0,1.0
115,1,1.0
116,1,1.0
117,2,0.0
118,2,2.0
119,3,2.0
120,0,0.0
121,0,1.0
122,0,2.0
123,2,1.0
124,0,1.0
125,5,2.0
126,2,5.0
127,2,1.0
128,4,1.0
129,0,1.0
130,3,2.0
131,1,0.0
132,1,1.0
133,1,1.0
134,0,0.0
135,3,9.0
136,11,6.0
137,5,8.0
138,0,2.0
139,0,1.0
140,2,1.0
141,4,1.0
142,3,1.0
143,2,1.0
144,1,-0.0
145,0,2.0
146,6,2.0
147,0,1.0
148,0,2.0
149,1,0.0
150,0,1.0
151,1,1.0
152,1,1.0
153,1,3.0
154,0,1.0
155,0,1.0
156,1,1.0
157,3,8.0
158,2,1.0
159,0,2.0
160,1,2.0
161,1,1.0
162,0,0.0
163,0,1.0
164,0,1.0
165,1,1.0
166,1,7.0
167,8,1.0
168,1,2.0
169,0,5.0
170,0,1.0
171,0,0.0
172,0,5.0
173,0,1.0
174,1,1.0
175,1,1.0
176,0,1.0
177,2,3.0
178,0,-0.0
179,2,1.0
180,0,3.0
181,2,1.0
182,0,1.0
183,47,5.0
184,1,1.0
185,8,9.0
186,11,3.0
187,11,5.0
188,7,7.0
189,2,1.0
190,2,1.0
191,0,1.0
192,0,0.0
193,0,4.0
194,0,2.0
195,2,2.0
196,2,1.0
197,1,0.0
198,2,2.0
199,4,8.0
200,0,2.0
201,0,1.0
202,1,3.0
203,1,2.0
204,8,6.0
205,2,1.0
206,1,1.0
207,0,12.0
208,3,1.0
209,3,1.0
210,0,1.0
211,1,0.0
212,0,1.0
213,1,0.0
214,0,2.0
215,0,1.0
216,2,1.0
217,0,1.0
218,1,0.0
219,0,1.0
220,0,2.0
221,0,1.0
222,0,1.0
223,0,0.0
224,2,1.0
225,3,2.0
226,2,1.0
227,11,6.0
228,3,6.0
229,1,1.0
230,3,1.0
231,1,2.0
232,3,0.0
233,4,1.0
