file_index,original_value,predict_value
0,1,-0.0
1,1,2.0
2,1,1.0
3,1,1.0
4,1,2.0
5,2,3.0
6,1,0.0
7,1,1.0
8,1,1.0
9,1,1.0
10,1,1.0
11,1,1.0
12,0,3.0
13,1,1.0
14,0,3.0
15,0,3.0
16,0,18.0
17,0,0.0
18,0,1.0
19,0,0.0
20,0,1.0
21,0,-0.0
22,0,1.0
23,0,1.0
24,1,1.0
25,1,1.0
26,1,2.0
27,1,4.0
28,1,1.0
29,1,3.0
30,3,3.0
31,4,2.0
32,4,2.0
33,4,2.0
34,4,1.0
35,0,1.0
36,1,7.0
37,0,-0.0
38,6,1.0
39,1,1.0
40,1,1.0
41,2,1.0
42,0,3.0
43,0,0.0
44,2,-1.0
45,1,1.0
46,1,1.0
47,0,0.0
48,1,1.0
49,1,2.0
50,1,1.0
51,3,1.0
52,10,3.0
53,1,1.0
54,2,3.0
55,1,1.0
56,0,2.0
57,1,1.0
58,0,1.0
59,0,0.0
60,1,-1.0
61,1,0.0
62,3,2.0
63,4,3.0
64,0,1.0
65,1,1.0
66,1,2.0
67,0,2.0
68,0,1.0
69,0,4.0
70,0,0.0
71,1,1.0
72,1,1.0
73,1,3.0
74,0,2.0
75,0,1.0
76,3,2.0
77,2,2.0
78,0,1.0
79,1,3.0
80,2,1.0
81,11,2.0
82,6,1.0
83,3,1.0
84,14,14.0
85,2,2.0
86,12,5.0
87,1,1.0
88,4,2.0
89,0,1.0
90,0,1.0
91,0,3.0
92,0,1.0
93,1,2.0
94,1,1.0
95,0,0.0
96,0,2.0
97,1,0.0
98,5,10.0
99,0,1.0
100,2,2.0
101,0,1.0
102,1,1.0
103,0,0.0
104,0,2.0
105,3,1.0
106,0,1.0
107,1,1.0
108,0,0.0
109,0,1.0
110,2,1.0
111,4,3.0
112,0,1.0
113,3,1.0
114,0,2.0
115,0,2.0
116,0,2.0
117,1,-0.0
118,0,1.0
119,0,2.0
120,1,-1.0
121,0,1.0
122,1,3.0
123,1,1.0
124,0,3.0
125,0,2.0
126,0,1.0
127,1,1.0
128,0,0.0
129,2,-0.0
130,20,10.0
131,4,2.0
132,0,2.0
133,7,2.0
134,0,3.0
135,0,1.0
136,0,2.0
137,0,0.0
138,0,1.0
139,0,1.0
140,0,0.0
141,0,2.0
142,0,1.0
143,2,3.0
144,0,0.0
145,1,2.0
146,0,1.0
147,1,1.0
148,1,1.0
149,1,1.0
150,0,0.0
151,1,1.0
152,5,3.0
153,4,3.0
154,0,4.0
155,6,-0.0
156,0,1.0
157,0,3.0
158,0,1.0
159,0,1.0
160,3,5.0
161,3,1.0
162,4,2.0
163,0,0.0
164,0,1.0
165,0,1.0
166,1,2.0
167,1,3.0
168,1,3.0
169,2,1.0
170,1,3.0
171,1,1.0
172,0,1.0
173,3,3.0
174,6,1.0
175,5,1.0
176,5,3.0
177,4,2.0
178,4,0.0
179,1,1.0
180,0,1.0
181,1,1.0
182,1,1.0
183,1,0.0
184,0,0.0
185,0,0.0
186,0,1.0
187,0,0.0
188,1,1.0
189,1,1.0
190,1,3.0
191,1,4.0
192,3,2.0
193,2,4.0
194,1,1.0
195,1,-0.0
196,1,2.0
197,1,0.0
198,1,1.0
199,1,0.0
200,2,3.0
201,2,-0.0
202,0,-0.0
203,0,0.0
204,1,2.0
205,2,4.0
206,5,0.0
207,0,1.0
208,1,1.0
209,2,1.0
210,0,1.0
211,0,0.0
212,1,0.0
213,0,1.0
214,1,2.0
215,1,3.0
216,3,-0.0
217,0,1.0
218,2,2.0
219,1,-1.0
220,8,2.0
221,0,2.0
222,7,2.0
223,0,2.0
224,0,1.0
225,0,1.0
226,3,3.0
227,0,2.0
228,1,4.0
229,0,-0.0
230,0,0.0
231,1,3.0
232,0,1.0
233,1,2.0
234,0,2.0
