file_index,original_value,predict_value
0,0,0.0
1,0,1.0
2,1,0.0
3,1,2.0
4,0,-0.0
5,0,0.0
6,0,1.0
7,0,-0.0
8,0,1.0
9,1,4.0
10,1,1.0
11,2,3.0
12,0,-0.0
13,0,1.0
14,2,0.0
15,0,0.0
16,0,-0.0
17,0,1.0
18,0,0.0
19,0,1.0
20,1,0.0
21,0,1.0
22,3,0.0
23,0,-0.0
24,2,1.0
25,1,0.0
26,0,0.0
27,0,0.0
28,0,1.0
29,0,0.0
30,0,1.0
31,0,-0.0
32,3,2.0
33,0,0.0
34,2,1.0
35,0,0.0
36,0,0.0
37,0,1.0
38,2,1.0
39,0,1.0
40,0,-0.0
41,0,2.0
42,0,1.0
43,0,0.0
44,0,0.0
45,0,3.0
46,4,1.0
47,1,1.0
48,0,0.0
49,1,1.0
50,1,1.0
51,0,1.0
52,0,1.0
53,0,1.0
54,3,0.0
55,0,1.0
56,1,1.0
57,0,0.0
58,0,-0.0
59,4,2.0
60,1,0.0
61,0,0.0
62,0,0.0
63,0,1.0
64,0,-0.0
65,0,1.0
66,1,0.0
67,0,0.0
68,0,0.0
69,0,1.0
70,0,-0.0
71,0,0.0
72,0,0.0
73,1,1.0
74,0,-0.0
75,1,0.0
76,1,0.0
77,0,0.0
78,3,2.0
79,0,1.0
80,1,2.0
81,2,1.0
82,1,4.0
83,2,1.0
84,1,-0.0
85,0,1.0
86,0,1.0
87,0,0.0
88,0,0.0
89,2,1.0
90,0,1.0
91,0,0.0
92,0,1.0
93,0,0.0
94,0,0.0
95,0,0.0
96,0,0.0
97,0,-0.0
98,1,0.0
99,1,1.0
100,1,0.0
101,2,2.0
102,1,1.0
103,0,0.0
104,0,0.0
105,0,1.0
106,0,1.0
107,1,0.0
108,1,0.0
109,1,1.0
110,0,0.0
111,0,0.0
112,0,1.0
113,0,1.0
114,0,1.0
115,0,0.0
116,0,0.0
117,0,0.0
118,0,0.0
119,0,1.0
120,0,3.0
121,2,0.0
122,0,-0.0
123,0,1.0
124,0,0.0
125,1,1.0
126,0,0.0
127,0,0.0
128,1,1.0
129,0,0.0
130,4,0.0
131,2,0.0
132,0,0.0
133,0,1.0
134,0,-0.0
135,0,1.0
136,0,0.0
137,0,0.0
138,0,1.0
139,0,0.0
140,0,0.0
141,0,1.0
142,0,0.0
143,0,1.0
144,0,2.0
145,2,0.0
146,2,1.0
147,1,1.0
148,3,3.0
149,1,2.0
150,2,0.0
151,0,1.0
152,1,0.0
153,0,0.0
154,0,0.0
155,0,0.0
156,0,1.0
157,0,1.0
158,0,0.0
159,1,2.0
160,0,0.0
161,0,0.0
162,0,0.0
163,1,1.0
164,0,0.0
165,0,0.0
166,0,0.0
167,0,0.0
168,0,0.0
169,0,1.0
170,4,1.0
171,1,1.0
172,1,1.0
173,0,0.0
174,0,0.0
175,0,1.0
176,2,1.0
177,1,3.0
178,0,0.0
179,0,3.0
180,0,0.0
181,0,0.0
182,0,0.0
183,0,0.0
184,9,1.0
185,1,1.0
186,2,0.0
187,0,1.0
188,0,1.0
189,1,1.0
190,0,1.0
191,1,0.0
192,0,0.0
193,0,0.0
194,0,-0.0
195,1,1.0
196,0,0.0
197,0,0.0
198,1,0.0
199,0,-0.0
200,0,1.0
201,0,0.0
202,0,2.0
203,2,2.0
204,2,1.0
205,0,0.0
206,0,-0.0
207,1,0.0
208,0,0.0
209,1,0.0
210,0,-0.0
211,1,0.0
212,0,4.0
213,0,1.0
214,0,-0.0
215,1,0.0
216,1,1.0
217,2,1.0
218,0,1.0
219,0,1.0
220,0,1.0
221,0,0.0
222,0,0.0
223,0,0.0
224,0,0.0
225,0,-0.0
226,0,0.0
227,0,0.0
228,2,2.0
229,1,1.0
230,0,-0.0
231,0,1.0
232,0,0.0
233,0,0.0
234,3,2.0
235,0,1.0
236,2,0.0
237,1,1.0
238,1,0.0
239,0,1.0
240,0,0.0
241,1,0.0
242,0,0.0
243,0,0.0
244,2,1.0
245,0,-0.0
246,0,0.0
247,0,-0.0
248,0,0.0
249,1,0.0
250,0,0.0
251,6,1.0
252,1,2.0
253,1,0.0
254,0,0.0
255,0,0.0
