file_index,original_value,predict_value
0,0,0.0
1,0,0.0
2,1,1.0
3,0,0.0
4,1,1.0
5,1,1.0
6,1,1.0
7,0,1.0
8,0,1.0
9,0,0.0
10,0,0.0
11,0,0.0
12,1,1.0
13,1,1.0
14,0,1.0
15,0,1.0
16,0,1.0
17,0,0.0
18,0,0.0
19,0,1.0
20,0,0.0
21,0,5.0
22,0,0.0
23,1,1.0
24,1,1.0
25,1,1.0
26,1,1.0
27,1,1.0
28,1,1.0
29,1,0.0
30,1,0.0
31,0,0.0
32,1,1.0
33,0,-0.0
34,0,1.0
35,0,0.0
36,0,0.0
37,0,0.0
38,0,2.0
39,0,1.0
40,1,1.0
41,0,0.0
42,0,1.0
43,0,0.0
44,0,0.0
45,2,0.0
46,1,0.0
47,1,2.0
48,0,0.0
49,0,2.0
50,2,0.0
51,0,0.0
52,0,0.0
53,0,0.0
54,0,1.0
55,0,0.0
56,0,1.0
57,0,1.0
58,1,1.0
59,1,1.0
60,1,1.0
61,1,2.0
62,0,2.0
63,0,1.0
64,2,1.0
65,1,2.0
66,0,0.0
67,2,3.0
68,1,1.0
69,1,0.0
70,2,1.0
71,2,1.0
72,1,1.0
73,1,1.0
74,0,1.0
75,2,4.0
76,0,1.0
77,0,0.0
78,0,1.0
79,1,1.0
80,1,1.0
81,1,1.0
82,1,1.0
83,2,1.0
84,1,1.0
85,0,1.0
86,0,0.0
87,0,0.0
88,1,1.0
89,1,1.0
90,2,1.0
91,1,1.0
92,1,1.0
93,0,2.0
94,0,2.0
95,1,1.0
96,1,1.0
97,0,0.0
98,0,0.0
99,0,0.0
100,2,1.0
101,0,0.0
102,1,1.0
103,0,1.0
104,1,1.0
105,0,1.0
106,0,0.0
107,0,0.0
108,0,0.0
109,0,0.0
110,0,0.0
111,0,2.0
112,0,1.0
113,0,2.0
114,2,7.0
115,0,1.0
116,0,0.0
117,5,2.0
118,0,1.0
119,1,1.0
120,1,1.0
121,0,0.0
122,0,0.0
123,2,1.0
124,4,2.0
125,2,0.0
126,0,1.0
127,1,0.0
128,0,1.0
129,0,0.0
130,2,0.0
131,0,1.0
132,0,1.0
133,1,0.0
134,0,0.0
135,0,0.0
136,0,2.0
137,1,1.0
138,0,0.0
139,1,2.0
140,1,0.0
141,0,0.0
142,0,0.0
143,1,2.0
144,0,1.0
145,1,0.0
146,1,1.0
147,1,1.0
148,2,0.0
149,0,0.0
150,0,1.0
151,0,1.0
152,2,1.0
153,1,1.0
154,1,1.0
155,1,0.0
156,1,1.0
157,0,1.0
158,1,1.0
159,0,1.0
160,0,0.0
161,1,0.0
162,0,0.0
163,0,0.0
164,0,0.0
165,0,0.0
166,1,1.0
167,1,1.0
168,1,1.0
169,0,0.0
170,1,1.0
171,0,1.0
172,1,1.0
173,3,1.0
174,2,2.0
175,1,1.0
176,1,1.0
177,1,1.0
178,0,0.0
179,0,1.0
180,0,1.0
181,1,1.0
182,0,0.0
183,0,0.0
184,1,0.0
185,1,1.0
186,0,1.0
187,0,1.0
188,2,0.0
189,0,0.0
190,0,1.0
191,0,0.0
192,0,1.0
193,0,1.0
194,0,0.0
195,0,0.0
196,0,1.0
197,0,0.0
198,4,0.0
199,0,-0.0
200,0,2.0
201,0,1.0
202,0,2.0
203,1,1.0
204,0,0.0
205,0,0.0
206,0,1.0
207,1,1.0
208,1,1.0
209,0,1.0
210,0,0.0
211,4,2.0
212,0,1.0
213,0,1.0
214,0,1.0
215,1,-0.0
216,0,0.0
217,1,1.0
218,1,1.0
219,1,1.0
220,1,1.0
221,0,0.0
222,0,1.0
223,1,0.0
224,3,1.0
225,2,1.0
226,2,0.0
227,1,1.0
228,0,1.0
229,1,0.0
230,1,1.0
231,0,1.0
232,1,1.0
