name,acc,recall,precision,F_measure,G_measure
ant-1.5.csv,0.142857143,0.2,0.2,0.111111111,0.4
synapse-1.0.csv,0.833333333,0.7414263,0.7414263,0.444444444,0.483333333
xerces-init.csv,0.587622549,0.325905025,0.325905025,0.73015873,0.296146395
ivy-2.0.csv,0.90406746,0.583622343,0.583622343,0.652777778,0.551258581
synapse-1.1.csv,0.779047619,0.289204506,0.289204506,0.32989899,0.367357911
ant-1.4.csv,0.332244009,0.362949039,0.362949039,0.257110302,0.332434641
ant-1.6.csv,0.471428571,0.359405301,0.359405301,0.352713178,0.214285714
lucene-2.4.csv,0.420454545,0.124230205,0.124230205,0.24820074,0.135080559
synapse-1.2.csv,0.701730769,0.308231912,0.308231912,0.502055171,0.383141762
ant-1.3.csv,0.314102564,0.317765568,0.317765568,0.191287879,0.372727273
lucene-2.0.csv,0.604897661,0.317975774,0.317975774,0.314891395,0.371981816
pbeans-1.0.csv,nan,nan,nan,0,0
lucene-2.2.csv,0.467617754,0.246622546,0.246622546,0.250840336,0.191756067
xalan-2.4.csv,0.843910699,0.236744421,0.236744421,0.242549118,0.166750707
camel-1.0.csv,0.070588235,0.72,0.72,0.042424242,0.047794118
ivy-1.1.csv,0.545454545,0.347282347,0.347282347,0.527777778,0.380808081
xalan-2.5.csv,0.519025341,0.108376796,0.108376796,0.191785925,0.097596602
xerces-1.2.csv,0.663054968,0.234603175,0.234603175,0.133928571,0.221722618
xerces-1.3.csv,0.718989899,0.338674535,0.338674535,0.365904762,0.256060606
camel-1.2.csv,0.625564972,0.192750559,0.192750559,0.253430344,0.125119251
xalan-2.6.csv,0.574882445,0.175903106,0.175903106,0.152860281,0.154313578
velocity-1.6.csv,0.692358366,0.290860632,0.290860632,0.592592593,0.468013468
camel-1.6.csv,0.684282773,0.253856782,0.253856782,0.15861746,0.268598844
velocity-1.5.csv,0.404143476,0.137135609,0.137135609,0.156690962,0.156865352
pbeans-2.0.csv,0.8,0.666666667,0.666666667,0.857142857,0.5
camel-1.4.csv,0.738995598,0.127016521,0.127016521,0.176838428,0.157314915
ivy-1.4.csv,0.5,0.08,0.08,0,0.041666667
velocity-1.4.csv,0.775,0.456959064,0.456959064,0.830065359,0.483065954
poi-1.5.csv,0.434782609,0.235294118,0.235294118,0.142857143,0.242424242
jedit-4.3.csv,0.515306122,0.05082483,0.05082483,0.145833333,0.036143979
poi-3.0.csv,0.40098661,0.095217053,0.095217053,0.115896852,0.136777394
jedit-4.2.csv,0.445634921,0.155228758,0.155228758,0.1,0.244627842
jedit-4.0.csv,0.785714286,0.266152247,0.266152247,0.154761905,0.25
jedit-4.1.csv,0.796296296,0.293650794,0.293650794,0.625,0.341614907
poi-2.5.csv,0.368421053,0.09949888,0.09949888,0.078607538,0.076913751
jedit-3.2.csv,0.307692308,0.470588235,0.470588235,0.32,0
log4j-1.1.csv,0.454545455,0.407834101,0.407834101,0.316666667,0.25
log4j-1.0.csv,0.785984848,0.347560976,0.347560976,0.620689655,0.443243243
poi-2.0.csv,0.915483871,0.525193476,0.525193476,0.596787149,0.59
log4j-1.2.csv,0.205263158,0.194217687,0.194217687,0.195126706,0.223544974
